Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
RELIANCE,03-Apr-2023,27-Apr-2023,PE,1800.00,1.40,1.40,0.85,1.00,0.90,1.00,78.00,351.21,0.21,26500.00,3500.00,2331.45
RELIANCE,03-Apr-2023,27-Apr-2023,PE,1820.00,-,-,-,4.30,-,0.05,-,-,-,-,-,2331.45
RELIANCE,03-Apr-2023,27-Apr-2023,PE,1840.00,-,-,-,5.15,-,0.05,-,-,-,-,-,2331.45
RELIANCE,03-Apr-2023,27-Apr-2023,PE,1860.00,-,-,-,6.15,-,0.10,-,-,-,-,-,2331.45
RELIANCE,03-Apr-2023,27-Apr-2023,PE,1880.00,-,-,-,7.25,-,0.15,-,-,-,-,-,2331.45
RELIANCE,03-Apr-2023,27-Apr-2023,PE,1900.00,2.05,2.05,1.50,1.60,1.95,1.60,838.00,3983.91,3.41,189500.00,-63750.00,2331.45
RELIANCE,03-Apr-2023,27-Apr-2023,PE,1920.00,1.90,1.90,1.85,1.85,1.85,1.85,5.00,24.02,0.02,1500.00,250.00,2331.45
RELIANCE,03-Apr-2023,27-Apr-2023,PE,1940.00,2.10,2.20,2.00,2.05,2.10,2.05,88.00,427.25,0.45,70750.00,12250.00,2331.45
RELIANCE,03-Apr-2023,27-Apr-2023,PE,1960.00,-,-,-,13.55,-,0.70,-,-,-,-,-,2331.45
RELIANCE,03-Apr-2023,27-Apr-2023,PE,1980.00,2.40,2.45,2.10,2.20,2.30,2.20,13.00,64.42,0.07,5250.00,500.00,2331.45
RELIANCE,03-Apr-2023,27-Apr-2023,PE,2000.00,2.95,3.10,2.30,2.50,2.50,2.50,2202.00,11024.07,14.07,832000.00,-7750.00,2331.45
RELIANCE,03-Apr-2023,27-Apr-2023,PE,2020.00,2.90,2.90,2.60,2.80,2.90,2.80,29.00,146.65,0.20,17250.00,-1500.00,2331.45
RELIANCE,03-Apr-2023,27-Apr-2023,PE,2040.00,3.35,3.35,2.80,2.85,2.90,2.85,140.00,715.04,1.04,68500.00,-7250.00,2331.45
RELIANCE,03-Apr-2023,27-Apr-2023,PE,2060.00,3.75,5.30,3.10,3.20,3.20,3.20,374.00,1929.24,3.14,79750.00,9500.00,2331.45
RELIANCE,03-Apr-2023,27-Apr-2023,PE,2080.00,4.00,4.20,3.45,3.55,3.45,3.55,327.00,1703.46,3.06,72250.00,-1250.00,2331.45
RELIANCE,03-Apr-2023,27-Apr-2023,PE,2100.00,4.55,4.75,3.75,3.95,4.00,3.95,3850.00,20252.83,40.33,855250.00,46000.00,2331.45
RELIANCE,03-Apr-2023,27-Apr-2023,PE,2120.00,6.00,6.00,4.25,4.50,4.55,4.50,951.00,5051.97,11.67,181500.00,15250.00,2331.45
RELIANCE,03-Apr-2023,27-Apr-2023,PE,2140.00,5.90,6.45,4.90,5.20,5.20,5.20,1181.00,6335.00,16.65,450250.00,1250.00,2331.45
RELIANCE,03-Apr-2023,27-Apr-2023,PE,2160.00,7.80,8.00,5.80,6.20,6.10,6.20,1776.00,9620.64,30.24,281500.00,-14250.00,2331.45
RELIANCE,03-Apr-2023,27-Apr-2023,PE,2180.00,9.70,9.70,6.95,7.40,7.45,7.40,1240.00,6783.74,25.74,221250.00,29750.00,2331.45
RELIANCE,03-Apr-2023,27-Apr-2023,PE,2200.00,9.75,12.00,8.55,9.15,9.15,9.15,6269.00,34640.44,160.94,1304250.00,115250.00,2331.45
RELIANCE,03-Apr-2023,27-Apr-2023,PE,2220.00,12.15,14.75,10.50,11.20,11.30,11.20,2307.00,12878.00,74.15,263750.00,-11250.00,2331.45
RELIANCE,03-Apr-2023,27-Apr-2023,PE,2240.00,14.45,18.65,13.10,14.00,13.90,14.00,3643.00,20547.94,147.14,458000.00,-18750.00,2331.45
