Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
RELIANCE,01-Apr-2024,25-Apr-2024,CE,2440.00,557.00,560.00,557.00,560.00,560.00,541.45,4.00,29.98,5.58,6750.00,1000.00,2969.55
RELIANCE,01-Apr-2024,25-Apr-2024,CE,2480.00,-,-,-,301.30,-,501.70,-,-,-,-,-,2969.55
RELIANCE,01-Apr-2024,25-Apr-2024,CE,2520.00,-,-,-,470.95,470.95,462.05,-,-,-,6250.00,-,2969.55
RELIANCE,01-Apr-2024,25-Apr-2024,CE,2560.00,-,-,-,433.95,433.95,422.55,-,-,-,1500.00,-,2969.55
RELIANCE,01-Apr-2024,25-Apr-2024,CE,2600.00,413.75,413.80,390.00,395.10,395.10,383.30,18.00,134.83,17.83,44250.00,-500.00,2969.55
RELIANCE,01-Apr-2024,25-Apr-2024,CE,2620.00,-,-,-,302.00,302.00,363.80,-,-,-,500.00,-,2969.55
RELIANCE,01-Apr-2024,25-Apr-2024,CE,2640.00,-,-,-,350.00,350.00,344.50,-,-,-,500.00,-,2969.55
RELIANCE,01-Apr-2024,25-Apr-2024,CE,2660.00,-,-,-,280.00,280.00,325.30,-,-,-,1000.00,-,2969.55
RELIANCE,01-Apr-2024,25-Apr-2024,CE,2680.00,-,-,-,333.50,332.00,306.35,-,-,-,500.00,-,2969.55
RELIANCE,01-Apr-2024,25-Apr-2024,CE,2700.00,301.95,301.95,290.00,294.00,294.00,294.00,17.00,127.29,12.54,49500.00,-,2969.55
RELIANCE,01-Apr-2024,25-Apr-2024,CE,2720.00,-,-,-,145.05,-,269.20,-,-,-,-,-,2969.55
RELIANCE,01-Apr-2024,25-Apr-2024,CE,2740.00,250.10,254.40,250.10,254.40,254.40,251.15,2.00,14.96,1.26,15750.00,250.00,2969.55
RELIANCE,01-Apr-2024,25-Apr-2024,CE,2760.00,-,-,-,175.30,175.30,233.45,-,-,-,4500.00,-,2969.55
RELIANCE,01-Apr-2024,25-Apr-2024,CE,2780.00,222.00,222.00,222.00,222.00,222.00,216.20,2.00,15.01,1.11,3000.00,-,2969.55
RELIANCE,01-Apr-2024,25-Apr-2024,CE,2800.00,213.00,213.00,198.00,198.05,198.00,198.05,185.00,1389.32,94.32,221250.00,2500.00,2969.55
RELIANCE,01-Apr-2024,25-Apr-2024,CE,2820.00,186.40,188.60,182.95,182.95,182.95,182.95,7.00,52.62,3.27,21250.00,-750.00,2969.55
RELIANCE,01-Apr-2024,25-Apr-2024,CE,2840.00,181.05,181.05,161.70,165.65,165.65,165.65,10.00,75.20,4.20,50500.00,750.00,2969.55
RELIANCE,01-Apr-2024,25-Apr-2024,CE,2860.00,153.70,154.35,148.05,149.50,150.45,149.50,21.00,158.08,7.93,24750.00,750.00,2969.55
RELIANCE,01-Apr-2024,25-Apr-2024,CE,2880.00,142.00,148.90,129.90,134.90,134.90,134.90,95.00,716.90,32.90,71250.00,7000.00,2969.55
RELIANCE,01-Apr-2024,25-Apr-2024,CE,2900.00,128.70,132.30,116.00,118.45,120.00,118.45,762.00,5757.77,233.27,523750.00,20250.00,2969.55
RELIANCE,01-Apr-2024,25-Apr-2024,CE,2920.00,115.05,117.25,101.85,104.50,105.05,104.50,196.00,1483.78,52.98,87250.00,6250.00,2969.55
RELIANCE,01-Apr-2024,25-Apr-2024,CE,2940.00,101.25,103.65,89.00,92.45,93.00,92.45,728.00,5522.06,171.26,93250.00,16000.00,2969.55
RELIANCE,01-Apr-2024,25-Apr-2024,CE,2960.00,92.00,94.00,76.35,79.80,81.10,79.80,3406.00,25906.27,701.87,260750.00,132500.00,2969.55
RELIANCE,01-Apr-2024,25-Apr-2024,CE,2980.00,78.70,80.65,66.30,69.20,70.20,69.20,5518.00,42102.19,993.09,320500.00,143500.00,2969.55
RELIANCE,01-Apr-2024,25-Apr-2024,CE,3000.00,67.25,71.05,56.70,59.40,60.15,59.40,14553.00,111407.18,2259.68,2889000.00,381750.00,2969.55
