Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
RELIANCE,01-Aug-2022,25-Aug-2022,CE,1980.00,-,-,-,641.70,-,601.80,-,-,-,-,-,2349.00
RELIANCE,01-Aug-2022,25-Aug-2022,CE,2000.00,-,-,-,494.00,494.00,581.90,-,-,-,4250.00,-,2349.00
RELIANCE,01-Aug-2022,25-Aug-2022,CE,2020.00,-,-,-,605.45,-,562.05,-,-,-,-,-,2349.00
RELIANCE,01-Aug-2022,25-Aug-2022,CE,2040.00,-,-,-,587.60,-,542.25,-,-,-,-,-,2349.00
RELIANCE,01-Aug-2022,25-Aug-2022,CE,2060.00,-,-,-,569.95,-,522.50,-,-,-,-,-,2349.00
RELIANCE,01-Aug-2022,25-Aug-2022,CE,2080.00,-,-,-,552.50,-,502.75,-,-,-,-,-,2349.00
RELIANCE,01-Aug-2022,25-Aug-2022,CE,2100.00,-,-,-,370.00,370.00,483.10,-,-,-,1750.00,-,2349.00
RELIANCE,01-Aug-2022,25-Aug-2022,CE,2120.00,-,-,-,518.20,-,463.55,-,-,-,-,-,2349.00
RELIANCE,01-Aug-2022,25-Aug-2022,CE,2140.00,-,-,-,501.40,-,444.05,-,-,-,-,-,2349.00
RELIANCE,01-Aug-2022,25-Aug-2022,CE,2160.00,-,-,-,484.80,-,424.70,-,-,-,-,-,2349.00
RELIANCE,01-Aug-2022,25-Aug-2022,CE,2180.00,-,-,-,468.50,-,405.50,-,-,-,-,-,2349.00
RELIANCE,01-Aug-2022,25-Aug-2022,CE,2200.00,328.20,389.00,320.00,373.15,371.90,373.15,79.00,506.54,72.04,48500.00,-1750.00,2349.00
RELIANCE,01-Aug-2022,25-Aug-2022,CE,2220.00,-,-,-,436.65,-,367.55,-,-,-,-,-,2349.00
RELIANCE,01-Aug-2022,25-Aug-2022,CE,2240.00,-,-,-,421.15,-,348.95,-,-,-,-,-,2349.00
RELIANCE,01-Aug-2022,25-Aug-2022,CE,2260.00,-,-,-,405.95,-,330.55,-,-,-,-,-,2349.00
RELIANCE,01-Aug-2022,25-Aug-2022,CE,2280.00,-,-,-,391.00,-,312.50,-,-,-,-,-,2349.00
RELIANCE,01-Aug-2022,25-Aug-2022,CE,2300.00,227.50,292.00,224.75,279.25,275.00,279.25,220.00,1408.84,143.84,109000.00,-21250.00,2349.00
RELIANCE,01-Aug-2022,25-Aug-2022,CE,2320.00,261.95,261.95,260.35,261.00,260.60,261.00,3.00,19.36,1.96,6500.00,-500.00,2349.00
RELIANCE,01-Aug-2022,25-Aug-2022,CE,2340.00,225.15,241.45,225.15,241.45,241.45,260.30,2.00,12.87,1.17,17500.00,-250.00,2349.00
RELIANCE,01-Aug-2022,25-Aug-2022,CE,2360.00,177.05,238.00,177.05,224.85,223.00,224.85,29.00,186.96,15.86,47750.00,-2500.00,2349.00
RELIANCE,01-Aug-2022,25-Aug-2022,CE,2380.00,159.70,217.00,159.65,217.00,217.00,227.65,62.00,399.15,30.25,79750.00,-3000.00,2349.00
RELIANCE,01-Aug-2022,25-Aug-2022,CE,2400.00,143.50,202.00,139.60,187.80,185.00,187.80,2427.00,15620.59,1058.59,459250.00,-134500.00,2349.00
RELIANCE,01-Aug-2022,25-Aug-2022,CE,2420.00,131.50,185.00,125.35,172.20,169.00,172.20,483.00,3113.36,191.21,122500.00,-47500.00,2349.00
RELIANCE,01-Aug-2022,25-Aug-2022,CE,2440.00,117.45,168.60,15.00,154.00,150.70,154.00,1001.00,6452.51,346.41,214500.00,-94250.00,2349.00
RELIANCE,01-Aug-2022,25-Aug-2022,CE,2460.00,105.85,154.10,99.00,141.05,135.15,141.05,1498.00,9692.35,479.65,185250.00,-129750.00,2349.00
RELIANCE,01-Aug-2022,25-Aug-2022,CE,2480.00,90.30,139.50,87.00,126.95,124.15,126.95,1626.00,10553.52,472.32,193250.00,-120500.00,2349.00
RELIANCE,01-Aug-2022,25-Aug-2022,CE,2500.00,82.05,125.55,76.70,112.45,108.85,112.45,21776.00,141779.59,5679.59,2043000.00,-1156500.00,2349.00
RELIANCE,01-Aug-2022,25-Aug-2022,CE,2520.00,70.65,111.25,66.70,99.55,96.05,99.55,10226.00,66663.65,2239.85,242500.00,-391250.00,2349.00
RELIANCE,01-Aug-2022,25-Aug-2022,CE,2540.00,62.95,98.85,57.00,88.20,84.45,88.20,14681.00,96134.60,2910.25,453750.00,-134750.00,2349.00
RELIANCE,01-Aug-2022,25-Aug-2022,CE,2560.00,53.95,86.70,48.80,77.00,74.45,77.00,20168.00,132685.84,3610.64,422750.00,81000.00,2349.00
RELIANCE,01-Aug-2022,25-Aug-2022,CE,2580.00,48.20,75.80,42.65,67.10,64.70,67.10,17285.00,114214.13,2725.88,379250.00,211500.00,2349.00
RELIANCE,01-Aug-2022,25-Aug-2022,CE,2600.00,44.45,65.50,35.50,57.70,55.50,57.70,49084.00,325630.97,6584.97,2645750.00,5000.00,2349.00
RELIANCE,01-Aug-2022,25-Aug-2022,CE,2620.00,34.40,56.65,30.25,49.85,48.00,49.85,8026.00,53506.77,936.47,242250.00,72000.00,2349.00
RELIANCE,01-Aug-2022,25-Aug-2022,CE,2640.00,28.10,48.75,25.40,42.55,40.50,42.55,9453.00,63331.51,941.71,318250.00,82250.00,2349.00
RELIANCE,01-Aug-2022,25-Aug-2022,CE,2660.00,25.50,41.60,21.85,36.50,35.00,36.50,5707.00,38433.10,481.55,267500.00,39500.00,2349.00
RELIANCE,01-Aug-2022,25-Aug-2022,CE,2680.00,20.60,35.65,18.65,31.15,29.50,31.15,4032.00,27305.19,290.79,160250.00,53750.00,2349.00
