Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
RELIANCE,01-Aug-2024,29-Aug-2024,PE,2520.00,0.90,1.00,0.80,0.95,0.95,0.95,213.00,1342.39,0.49,73250.00,1750.00,3030.60
RELIANCE,01-Aug-2024,29-Aug-2024,PE,2560.00,1.00,1.05,0.90,0.95,0.90,0.95,8.00,51.22,0.02,7750.00,1000.00,3030.60
RELIANCE,01-Aug-2024,29-Aug-2024,PE,2600.00,0.90,0.90,0.65,0.80,0.75,0.80,500.00,3250.96,0.96,373250.00,-1250.00,3030.60
RELIANCE,01-Aug-2024,29-Aug-2024,PE,2640.00,1.40,1.80,1.15,1.25,1.40,1.25,39.00,257.52,0.12,83750.00,-3750.00,3030.60
RELIANCE,01-Aug-2024,29-Aug-2024,PE,2680.00,1.60,2.40,1.25,1.70,1.50,1.70,66.00,442.46,0.26,104500.00,-2250.00,3030.60
RELIANCE,01-Aug-2024,29-Aug-2024,PE,2720.00,2.55,2.65,1.55,1.70,1.65,1.70,655.00,4457.30,3.30,385000.00,-13750.00,3030.60
RELIANCE,01-Aug-2024,29-Aug-2024,PE,2740.00,3.00,3.00,1.75,2.00,2.05,2.00,222.00,1521.96,1.26,204000.00,12000.00,3030.60
RELIANCE,01-Aug-2024,29-Aug-2024,PE,2760.00,3.80,3.95,2.60,2.80,2.60,2.80,697.00,4814.79,5.49,336750.00,2750.00,3030.60
RELIANCE,01-Aug-2024,29-Aug-2024,PE,2780.00,5.30,5.30,3.50,3.70,3.65,3.70,492.00,3424.67,5.27,84750.00,-4250.00,3030.60
RELIANCE,01-Aug-2024,29-Aug-2024,PE,2800.00,6.80,7.10,4.65,4.90,4.75,4.90,2475.00,17359.71,34.71,1222750.00,-94500.00,3030.60
RELIANCE,01-Aug-2024,29-Aug-2024,PE,2820.00,8.35,8.50,5.65,6.00,5.70,6.00,806.00,5696.18,13.88,119500.00,-20750.00,3030.60
RELIANCE,01-Aug-2024,29-Aug-2024,PE,2840.00,9.45,9.85,7.05,7.45,7.35,7.45,908.00,6465.85,19.05,225250.00,11750.00,3030.60
RELIANCE,01-Aug-2024,29-Aug-2024,PE,2860.00,11.50,12.70,8.90,9.35,9.00,9.35,1160.00,8324.67,30.67,443750.00,17750.00,3030.60
RELIANCE,01-Aug-2024,29-Aug-2024,PE,2880.00,15.10,15.85,11.25,11.85,11.30,11.85,865.00,6256.61,28.61,141000.00,-11000.00,3030.60
RELIANCE,01-Aug-2024,29-Aug-2024,PE,2900.00,18.00,19.60,14.05,14.90,14.65,14.90,3368.00,24557.27,139.27,1445750.00,17250.00,3030.60
RELIANCE,01-Aug-2024,29-Aug-2024,PE,2920.00,23.40,23.90,17.70,18.65,17.95,18.65,791.00,5814.37,40.07,168000.00,13250.00,3030.60
RELIANCE,01-Aug-2024,29-Aug-2024,PE,2940.00,28.70,28.80,22.00,23.20,22.30,23.20,947.00,7020.29,59.84,340250.00,10250.00,3030.60
RELIANCE,01-Aug-2024,29-Aug-2024,PE,2960.00,35.35,35.40,27.40,29.10,27.95,29.10,2805.00,20975.20,218.20,521000.00,34250.00,3030.60
RELIANCE,01-Aug-2024,29-Aug-2024,PE,2980.00,39.00,43.95,34.00,35.80,34.65,35.80,2083.00,15718.32,199.97,377000.00,23500.00,3030.60
RELIANCE,01-Aug-2024,29-Aug-2024,PE,3000.00,46.60,53.40,41.45,43.80,42.45,43.80,7813.00,59509.75,912.25,2336000.00,-49500.00,3030.60
RELIANCE,01-Aug-2024,29-Aug-2024,PE,3020.00,56.55,63.65,50.50,52.75,51.40,52.75,4858.00,37356.23,678.33,416500.00,14500.00,3030.60
