Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
RELIANCE,01-Dec-2023,28-Dec-2023,CE,1840.00,-,-,-,529.35,-,563.35,-,-,-,-,-,2394.30
RELIANCE,01-Dec-2023,28-Dec-2023,CE,1860.00,-,-,-,510.35,-,543.45,-,-,-,-,-,2394.30
RELIANCE,01-Dec-2023,28-Dec-2023,CE,1880.00,-,-,-,491.50,-,523.55,-,-,-,-,-,2394.30
RELIANCE,01-Dec-2023,28-Dec-2023,CE,1900.00,-,-,-,472.75,-,503.65,-,-,-,-,-,2394.30
RELIANCE,01-Dec-2023,28-Dec-2023,CE,1920.00,-,-,-,454.20,-,483.75,-,-,-,-,-,2394.30
RELIANCE,01-Dec-2023,28-Dec-2023,CE,1940.00,-,-,-,435.85,-,463.85,-,-,-,-,-,2394.30
RELIANCE,01-Dec-2023,28-Dec-2023,CE,1960.00,-,-,-,417.65,-,443.95,-,-,-,-,-,2394.30
RELIANCE,01-Dec-2023,28-Dec-2023,CE,1980.00,-,-,-,399.75,-,424.05,-,-,-,-,-,2394.30
RELIANCE,01-Dec-2023,28-Dec-2023,CE,2000.00,-,-,-,430.00,430.00,404.15,-,-,-,2250.00,-,2394.30
RELIANCE,01-Dec-2023,28-Dec-2023,CE,2020.00,375.75,385.00,375.75,380.40,385.00,380.40,2.00,12.00,1.90,250.00,250.00,2394.30
RELIANCE,01-Dec-2023,28-Dec-2023,CE,2040.00,-,-,-,347.50,-,364.35,-,-,-,-,-,2394.30
RELIANCE,01-Dec-2023,28-Dec-2023,CE,2060.00,-,-,-,330.70,-,344.50,-,-,-,-,-,2394.30
RELIANCE,01-Dec-2023,28-Dec-2023,CE,2080.00,-,-,-,314.25,-,324.60,-,-,-,-,-,2394.30
RELIANCE,01-Dec-2023,28-Dec-2023,CE,2100.00,310.50,310.50,310.50,310.50,310.50,304.75,1.00,6.03,0.78,14750.00,-,2394.30
RELIANCE,01-Dec-2023,28-Dec-2023,CE,2120.00,-,-,-,282.50,-,284.90,-,-,-,-,-,2394.30
RELIANCE,01-Dec-2023,28-Dec-2023,CE,2140.00,-,-,-,267.20,-,265.15,-,-,-,-,-,2394.30
RELIANCE,01-Dec-2023,28-Dec-2023,CE,2160.00,-,-,-,252.40,-,245.45,-,-,-,-,-,2394.30
RELIANCE,01-Dec-2023,28-Dec-2023,CE,2180.00,-,-,-,237.95,-,225.90,-,-,-,-,-,2394.30
RELIANCE,01-Dec-2023,28-Dec-2023,CE,2200.00,212.00,212.00,205.00,209.20,208.10,209.20,24.00,144.53,12.53,60250.00,500.00,2394.30
RELIANCE,01-Dec-2023,28-Dec-2023,CE,2220.00,187.05,190.05,187.05,188.05,188.05,187.45,13.00,78.30,6.15,3250.00,3250.00,2394.30
RELIANCE,01-Dec-2023,28-Dec-2023,CE,2240.00,171.05,171.05,170.05,171.05,171.05,168.75,5.00,30.13,2.13,1250.00,1250.00,2394.30
RELIANCE,01-Dec-2023,28-Dec-2023,CE,2260.00,151.55,151.55,150.50,151.00,151.00,151.00,4.00,24.11,1.51,52000.00,500.00,2394.30
RELIANCE,01-Dec-2023,28-Dec-2023,CE,2280.00,136.80,136.80,130.95,133.25,132.20,133.25,69.00,416.36,23.06,40000.00,10750.00,2394.30
RELIANCE,01-Dec-2023,28-Dec-2023,CE,2300.00,112.20,122.00,112.15,116.65,115.00,116.65,1309.00,7907.25,380.50,487500.00,-43750.00,2394.30
RELIANCE,01-Dec-2023,28-Dec-2023,CE,2320.00,104.15,104.15,96.60,100.05,100.75,100.05,71.00,429.46,17.66,51250.00,5500.00,2394.30
RELIANCE,01-Dec-2023,28-Dec-2023,CE,2340.00,86.00,89.10,81.60,84.35,83.00,84.35,961.00,5825.42,203.57,209750.00,54250.00,2394.30
RELIANCE,01-Dec-2023,28-Dec-2023,CE,2360.00,70.05,75.00,67.65,70.45,69.50,70.45,2720.00,16530.69,482.69,309750.00,62000.00,2394.30
RELIANCE,01-Dec-2023,28-Dec-2023,CE,2380.00,57.50,62.35,55.65,58.10,57.50,58.10,6763.00,41227.86,988.01,523500.00,61000.00,2394.30
RELIANCE,01-Dec-2023,28-Dec-2023,CE,2400.00,45.70,50.85,44.70,47.05,46.50,47.05,23361.00,142926.12,2760.12,3602500.00,388250.00,2394.30
RELIANCE,01-Dec-2023,28-Dec-2023,CE,2420.00,36.05,40.70,35.40,37.50,37.00,37.50,7514.00,46168.33,708.63,867000.00,98500.00,2394.30
RELIANCE,01-Dec-2023,28-Dec-2023,CE,2440.00,29.00,33.00,27.50,29.25,28.80,29.25,9418.00,58143.03,693.23,742250.00,81250.00,2394.30
RELIANCE,01-Dec-2023,28-Dec-2023,CE,2460.00,21.55,24.60,21.20,22.55,22.30,22.55,7019.00,43567.29,400.44,936250.00,171750.00,2394.30
RELIANCE,01-Dec-2023,28-Dec-2023,CE,2480.00,16.95,19.85,16.20,17.40,17.10,17.40,4309.00,26904.60,188.80,385500.00,100250.00,2394.30
RELIANCE,01-Dec-2023,28-Dec-2023,CE,2500.00,12.90,14.75,12.40,13.35,13.30,13.35,14492.00,91062.30,487.30,3238750.00,320750.00,2394.30
RELIANCE,01-Dec-2023,28-Dec-2023,CE,2520.00,11.10,11.20,9.45,10.15,10.15,10.15,3430.00,21697.76,88.76,317500.00,86750.00,2394.30
RELIANCE,01-Dec-2023,28-Dec-2023,CE,2540.00,8.30,8.95,7.20,7.85,7.80,7.85,3303.00,21040.37,66.32,391500.00,90250.00,2394.30
RELIANCE,01-Dec-2023,28-Dec-2023,CE,2560.00,5.90,7.25,5.70,6.15,6.10,6.15,1795.00,11516.17,28.17,227750.00,71250.00,2394.30
RELIANCE,01-Dec-2023,28-Dec-2023,CE,2580.00,5.70,5.70,4.40,4.95,4.90,4.95,564.00,3644.87,7.07,113000.00,17000.00,2394.30
RELIANCE,01-Dec-2023,28-Dec-2023,CE,2600.00,3.85,4.55,3.80,4.05,3.95,4.05,3914.00,25481.70,40.70,1127500.00,229500.00,2394.30
RELIANCE,01-Dec-2023,28-Dec-2023,CE,2620.00,3.20,3.75,3.20,3.35,3.20,3.35,431.00,2826.76,3.71,67000.00,23750.00,2394.30
RELIANCE,01-Dec-2023,28-Dec-2023,CE,2640.00,2.55,3.20,2.55,2.80,2.80,2.80,420.00,2774.98,2.98,59750.00,18500.00,2394.30
RELIANCE,01-Dec-2023,28-Dec-2023,CE,2660.00,3.40,3.40,2.25,2.35,2.30,2.35,233.00,1550.85,1.40,34000.00,16250.00,2394.30
RELIANCE,01-Dec-2023,28-Dec-2023,CE,2680.00,2.65,2.65,1.85,2.00,2.00,2.00,519.00,3480.00,2.70,53250.00,45500.00,2394.30
RELIANCE,01-Dec-2023,28-Dec-2023,CE,2700.00,1.70,1.75,1.35,1.65,1.70,1.65,2922.00,19735.26,11.76,777000.00,18500.00,2394.30
RELIANCE,01-Dec-2023,28-Dec-2023,CE,2720.00,1.70,1.80,0.90,1.55,1.35,1.55,300.00,2041.13,1.13,36000.00,34500.00,2394.30
RELIANCE,01-Dec-2023,28-Dec-2023,CE,2740.00,-,-,-,23.30,-,0.15,-,-,-,-,-,2394.30
RELIANCE,01-Dec-2023,28-Dec-2023,CE,2760.00,-,-,-,20.95,-,0.10,-,-,-,-,-,2394.30
RELIANCE,01-Dec-2023,28-Dec-2023,CE,2780.00,1.05,1.35,1.05,1.25,1.15,1.25,9.00,62.58,0.03,2250.00,2250.00,2394.30
RELIANCE,04-Dec-2023,28-Dec-2023,CE,1840.00,-,-,-,529.35,-,588.40,-,-,-,-,-,2420.20
RELIANCE,04-Dec-2023,28-Dec-2023,CE,1860.00,-,-,-,510.35,-,568.50,-,-,-,-,-,2420.20
RELIANCE,04-Dec-2023,28-Dec-2023,CE,1880.00,-,-,-,491.50,-,548.60,-,-,-,-,-,2420.20
