Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
RELIANCE,01-Dec-2023,28-Dec-2023,PE,1840.00,-,-,-,2.65,-,0.05,-,-,-,-,-,2394.30
RELIANCE,01-Dec-2023,28-Dec-2023,PE,1860.00,-,-,-,3.30,-,0.05,-,-,-,-,-,2394.30
RELIANCE,01-Dec-2023,28-Dec-2023,PE,1880.00,-,-,-,4.10,-,0.05,-,-,-,-,-,2394.30
RELIANCE,01-Dec-2023,28-Dec-2023,PE,1900.00,1.40,1.40,1.00,1.00,1.00,0.05,6.00,28.52,0.02,1500.00,750.00,2394.30
RELIANCE,01-Dec-2023,28-Dec-2023,PE,1920.00,-,-,-,6.10,-,0.05,-,-,-,-,-,2394.30
RELIANCE,01-Dec-2023,28-Dec-2023,PE,1940.00,-,-,-,7.35,-,0.05,-,-,-,-,-,2394.30
RELIANCE,01-Dec-2023,28-Dec-2023,PE,1960.00,-,-,-,8.85,-,0.05,-,-,-,-,-,2394.30
RELIANCE,01-Dec-2023,28-Dec-2023,PE,1980.00,-,-,-,10.55,-,0.05,-,-,-,-,-,2394.30
RELIANCE,01-Dec-2023,28-Dec-2023,PE,2000.00,1.35,1.60,1.05,1.20,1.05,1.20,205.00,1025.63,0.63,73250.00,19500.00,2394.30
RELIANCE,01-Dec-2023,28-Dec-2023,PE,2020.00,0.40,0.40,0.40,0.40,0.40,0.40,1.00,5.05,-,250.00,250.00,2394.30
RELIANCE,01-Dec-2023,28-Dec-2023,PE,2040.00,-,-,-,17.30,-,0.05,-,-,-,-,-,2394.30
RELIANCE,01-Dec-2023,28-Dec-2023,PE,2060.00,-,-,-,20.15,-,0.05,-,-,-,-,-,2394.30
RELIANCE,01-Dec-2023,28-Dec-2023,PE,2080.00,-,-,-,23.30,-,0.05,-,-,-,-,-,2394.30
RELIANCE,01-Dec-2023,28-Dec-2023,PE,2100.00,3.50,3.50,1.55,1.60,1.70,1.60,394.00,2070.32,1.82,141000.00,27250.00,2394.30
RELIANCE,01-Dec-2023,28-Dec-2023,PE,2120.00,-,-,-,11.80,11.80,0.15,-,-,-,250.00,-,2394.30
RELIANCE,01-Dec-2023,28-Dec-2023,PE,2140.00,-,-,-,11.80,11.80,0.25,-,-,-,250.00,-,2394.30
RELIANCE,01-Dec-2023,28-Dec-2023,PE,2160.00,5.60,5.60,2.05,2.15,2.10,2.15,203.00,1097.46,1.26,26250.00,18500.00,2394.30
RELIANCE,01-Dec-2023,28-Dec-2023,PE,2180.00,4.05,4.20,2.45,2.50,2.50,2.50,224.00,1222.53,1.73,28750.00,12750.00,2394.30
RELIANCE,01-Dec-2023,28-Dec-2023,PE,2200.00,5.55,5.70,2.80,2.95,2.95,2.95,1719.00,9470.17,15.67,514500.00,88750.00,2394.30
RELIANCE,01-Dec-2023,28-Dec-2023,PE,2220.00,6.25,6.25,3.40,3.55,3.50,3.55,349.00,1940.75,3.80,47250.00,13250.00,2394.30
RELIANCE,01-Dec-2023,28-Dec-2023,PE,2240.00,6.55,6.85,4.20,4.30,4.30,4.30,1189.00,6674.20,15.80,115500.00,-16000.00,2394.30
RELIANCE,01-Dec-2023,28-Dec-2023,PE,2260.00,9.70,9.70,5.30,5.45,5.45,5.45,2119.00,12007.14,34.79,366500.00,102750.00,2394.30
RELIANCE,01-Dec-2023,28-Dec-2023,PE,2280.00,11.95,11.95,6.90,7.10,7.05,7.10,1963.00,11230.19,41.09,325250.00,148250.00,2394.30
