Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
RELIANCE,01-Feb-2023,23-Feb-2023,CE,1940.00,-,-,-,675.80,-,408.05,-,-,-,-,-,2339.90
RELIANCE,01-Feb-2023,23-Feb-2023,CE,1960.00,-,-,-,657.00,-,388.30,-,-,-,-,-,2339.90
RELIANCE,01-Feb-2023,23-Feb-2023,CE,1980.00,-,-,-,638.35,-,368.60,-,-,-,-,-,2339.90
RELIANCE,01-Feb-2023,23-Feb-2023,CE,2000.00,-,-,-,619.75,-,349.05,-,-,-,-,-,2339.90
RELIANCE,01-Feb-2023,23-Feb-2023,CE,2020.00,-,-,-,345.00,345.00,329.55,-,-,-,500.00,-,2339.90
RELIANCE,01-Feb-2023,23-Feb-2023,CE,2040.00,-,-,-,405.00,405.00,310.25,-,-,-,2000.00,-,2339.90
RELIANCE,01-Feb-2023,23-Feb-2023,CE,2060.00,-,-,-,267.35,267.35,291.15,-,-,-,250.00,-,2339.90
RELIANCE,01-Feb-2023,23-Feb-2023,CE,2080.00,-,-,-,547.10,-,272.30,-,-,-,-,-,2339.90
RELIANCE,01-Feb-2023,23-Feb-2023,CE,2100.00,282.00,285.00,240.00,240.00,240.00,253.75,6.00,35.64,4.14,5250.00,-,2339.90
RELIANCE,01-Feb-2023,23-Feb-2023,CE,2120.00,-,-,-,511.85,-,235.55,-,-,-,-,-,2339.90
RELIANCE,01-Feb-2023,23-Feb-2023,CE,2140.00,-,-,-,494.55,-,217.75,-,-,-,-,-,2339.90
RELIANCE,01-Feb-2023,23-Feb-2023,CE,2160.00,-,-,-,477.50,-,200.45,-,-,-,-,-,2339.90
RELIANCE,01-Feb-2023,23-Feb-2023,CE,2180.00,171.90,187.75,168.50,184.35,187.75,184.35,14.00,82.40,6.10,6750.00,1250.00,2339.90
RELIANCE,01-Feb-2023,23-Feb-2023,CE,2200.00,194.75,200.00,146.40,170.20,174.65,170.20,312.00,1853.97,137.97,117000.00,28500.00,2339.90
RELIANCE,01-Feb-2023,23-Feb-2023,CE,2220.00,172.00,172.00,150.25,150.25,150.25,152.10,3.00,17.88,1.23,4250.00,250.00,2339.90
RELIANCE,01-Feb-2023,23-Feb-2023,CE,2240.00,160.45,160.45,121.70,136.95,136.95,136.95,39.00,232.50,14.10,8250.00,1500.00,2339.90
RELIANCE,01-Feb-2023,23-Feb-2023,CE,2260.00,135.50,146.10,102.00,118.80,117.65,118.80,65.00,387.86,20.61,30500.00,5500.00,2339.90
