Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
RELIANCE,01-Feb-2022,24-Feb-2022,CE,1800.00,-,-,-,551.10,551.10,583.45,-,-,-,4000.00,-,2378.70
RELIANCE,01-Feb-2022,24-Feb-2022,CE,1820.00,-,-,-,696.15,-,563.50,-,-,-,-,-,2378.70
RELIANCE,01-Feb-2022,24-Feb-2022,CE,1840.00,-,-,-,677.25,-,543.60,-,-,-,-,-,2378.70
RELIANCE,01-Feb-2022,24-Feb-2022,CE,1860.00,-,-,-,658.50,-,523.70,-,-,-,-,-,2378.70
RELIANCE,01-Feb-2022,24-Feb-2022,CE,1880.00,-,-,-,639.85,-,503.85,-,-,-,-,-,2378.70
RELIANCE,01-Feb-2022,24-Feb-2022,CE,1900.00,-,-,-,621.35,-,484.00,-,-,-,-,-,2378.70
RELIANCE,01-Feb-2022,24-Feb-2022,CE,1920.00,-,-,-,603.05,-,464.20,-,-,-,-,-,2378.70
RELIANCE,01-Feb-2022,24-Feb-2022,CE,1940.00,-,-,-,584.85,-,444.45,-,-,-,-,-,2378.70
RELIANCE,01-Feb-2022,24-Feb-2022,CE,1960.00,-,-,-,566.85,-,424.75,-,-,-,-,-,2378.70
RELIANCE,01-Feb-2022,24-Feb-2022,CE,1980.00,-,-,-,549.10,-,405.20,-,-,-,-,-,2378.70
RELIANCE,01-Feb-2022,24-Feb-2022,CE,2000.00,416.00,416.00,390.00,390.00,390.00,385.70,2.00,12.02,2.02,2000.00,-250.00,2378.70
RELIANCE,01-Feb-2022,24-Feb-2022,CE,2020.00,-,-,-,514.10,-,366.40,-,-,-,-,-,2378.70
RELIANCE,01-Feb-2022,24-Feb-2022,CE,2040.00,-,-,-,496.95,-,347.20,-,-,-,-,-,2378.70
RELIANCE,01-Feb-2022,24-Feb-2022,CE,2060.00,-,-,-,480.05,-,328.25,-,-,-,-,-,2378.70
RELIANCE,01-Feb-2022,24-Feb-2022,CE,2080.00,-,-,-,463.40,-,309.55,-,-,-,-,-,2378.70
RELIANCE,01-Feb-2022,24-Feb-2022,CE,2100.00,308.00,325.10,269.75,293.40,294.45,293.40,79.00,475.88,61.13,20750.00,1250.00,2378.70
RELIANCE,01-Feb-2022,24-Feb-2022,CE,2120.00,-,-,-,430.85,-,273.00,-,-,-,-,-,2378.70
RELIANCE,01-Feb-2022,24-Feb-2022,CE,2140.00,-,-,-,276.00,276.00,255.30,-,-,-,250.00,-,2378.70
RELIANCE,01-Feb-2022,24-Feb-2022,CE,2160.00,254.35,254.35,254.35,254.35,254.35,238.00,1.00,6.04,0.64,500.00,250.00,2378.70
RELIANCE,01-Feb-2022,24-Feb-2022,CE,2180.00,-,-,-,384.25,-,221.15,-,-,-,-,-,2378.70
RELIANCE,01-Feb-2022,24-Feb-2022,CE,2200.00,215.00,230.00,170.00,199.75,199.20,199.75,103.00,621.17,54.67,78250.00,-3750.00,2378.70
RELIANCE,01-Feb-2022,24-Feb-2022,CE,2220.00,196.90,210.00,182.30,182.30,182.30,182.30,7.00,42.38,3.53,17500.00,-250.00,2378.70
RELIANCE,01-Feb-2022,24-Feb-2022,CE,2240.00,188.95,190.00,144.35,174.00,174.00,173.95,54.00,325.95,23.55,18000.00,7250.00,2378.70
RELIANCE,01-Feb-2022,24-Feb-2022,CE,2260.00,172.00,172.00,146.45,148.50,148.50,148.50,4.00,24.15,1.55,26250.00,750.00,2378.70
RELIANCE,01-Feb-2022,24-Feb-2022,CE,2280.00,147.70,153.95,104.20,130.60,130.60,130.60,36.00,216.97,11.77,16250.00,3500.00,2378.70
RELIANCE,01-Feb-2022,24-Feb-2022,CE,2300.00,131.45,146.50,91.65,116.60,119.00,116.60,1705.00,10328.60,524.85,314500.00,-21250.00,2378.70
RELIANCE,01-Feb-2022,24-Feb-2022,CE,2320.00,130.00,130.75,79.45,102.80,103.00,102.80,416.00,2527.16,114.36,71250.00,-2250.00,2378.70
RELIANCE,01-Feb-2022,24-Feb-2022,CE,2340.00,102.20,116.85,69.00,90.90,92.00,90.90,1422.00,8660.40,341.70,225750.00,-71500.00,2378.70
RELIANCE,01-Feb-2022,24-Feb-2022,CE,2360.00,91.10,102.50,59.00,78.80,80.00,78.80,2727.00,16653.33,564.03,275000.00,-9000.00,2378.70
RELIANCE,01-Feb-2022,24-Feb-2022,CE,2380.00,83.85,90.30,51.00,68.40,70.00,68.40,4726.00,28990.15,870.45,331250.00,-82250.00,2378.70
