Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
RELIANCE,01-Feb-2022,24-Feb-2022,PE,1800.00,2.45,2.45,1.40,1.55,1.65,1.55,181.00,815.29,0.79,105750.00,7500.00,2378.70
RELIANCE,01-Feb-2022,24-Feb-2022,PE,1820.00,-,-,-,5.35,-,0.10,-,-,-,-,-,2378.70
RELIANCE,01-Feb-2022,24-Feb-2022,PE,1840.00,-,-,-,6.30,-,0.10,-,-,-,-,-,2378.70
RELIANCE,01-Feb-2022,24-Feb-2022,PE,1860.00,-,-,-,7.30,-,0.15,-,-,-,-,-,2378.70
RELIANCE,01-Feb-2022,24-Feb-2022,PE,1880.00,-,-,-,8.50,-,0.25,-,-,-,-,-,2378.70
RELIANCE,01-Feb-2022,24-Feb-2022,PE,1900.00,2.85,2.85,1.65,1.70,1.70,1.70,154.00,732.22,0.72,43000.00,6500.00,2378.70
RELIANCE,01-Feb-2022,24-Feb-2022,PE,1920.00,-,-,-,11.25,-,0.50,-,-,-,-,-,2378.70
RELIANCE,01-Feb-2022,24-Feb-2022,PE,1940.00,-,-,-,12.90,-,0.70,-,-,-,-,-,2378.70
RELIANCE,01-Feb-2022,24-Feb-2022,PE,1960.00,-,-,-,14.70,-,0.95,-,-,-,-,-,2378.70
RELIANCE,01-Feb-2022,24-Feb-2022,PE,1980.00,2.95,3.05,1.90,2.00,2.20,2.00,86.00,426.20,0.50,8500.00,1000.00,2378.70
RELIANCE,01-Feb-2022,24-Feb-2022,PE,2000.00,3.40,3.40,2.00,2.20,2.35,2.20,1023.00,5121.46,6.46,253750.00,-8000.00,2378.70
RELIANCE,01-Feb-2022,24-Feb-2022,PE,2020.00,3.90,3.90,2.20,2.40,2.50,2.40,21.00,106.21,0.16,3250.00,250.00,2378.70
RELIANCE,01-Feb-2022,24-Feb-2022,PE,2040.00,4.15,4.15,2.35,2.50,2.75,2.50,91.00,464.82,0.72,6750.00,1250.00,2378.70
RELIANCE,01-Feb-2022,24-Feb-2022,PE,2060.00,4.40,4.65,2.50,2.65,2.90,2.65,157.00,809.89,1.34,34250.00,-2250.00,2378.70
RELIANCE,01-Feb-2022,24-Feb-2022,PE,2080.00,4.95,5.20,2.70,3.20,3.35,3.20,359.00,1870.35,3.55,24750.00,-21500.00,2378.70
RELIANCE,01-Feb-2022,24-Feb-2022,PE,2100.00,5.60,5.95,3.15,3.60,3.70,3.60,3262.00,17160.06,34.56,337500.00,-161250.00,2378.70
