Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
RELIANCE,03-Jan-2022,27-Jan-2022,CE,1800.00,-,-,-,523.00,523.00,608.60,-,-,-,5250.00,-,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,CE,1820.00,-,-,-,799.25,-,588.70,-,-,-,-,-,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,CE,1840.00,-,-,-,780.00,-,568.80,-,-,-,-,-,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,CE,1860.00,-,-,-,760.85,-,548.90,-,-,-,-,-,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,CE,1880.00,-,-,-,741.80,-,529.00,-,-,-,-,-,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,CE,1900.00,-,-,-,722.85,-,509.15,-,-,-,-,-,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,CE,1920.00,-,-,-,704.00,-,489.35,-,-,-,-,-,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,CE,1940.00,-,-,-,685.25,-,469.60,-,-,-,-,-,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,CE,1960.00,-,-,-,666.65,-,449.90,-,-,-,-,-,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,CE,1980.00,-,-,-,648.20,-,430.30,-,-,-,-,-,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,CE,2000.00,397.00,397.00,397.00,397.00,397.00,410.75,2.00,11.98,1.99,2000.00,-,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,CE,2020.00,-,-,-,611.75,-,391.40,-,-,-,-,-,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,CE,2040.00,-,-,-,593.80,-,372.15,-,-,-,-,-,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,CE,2060.00,-,-,-,576.00,-,353.10,-,-,-,-,-,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,CE,2080.00,-,-,-,558.45,-,334.25,-,-,-,-,-,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,CE,2100.00,293.95,315.35,293.95,314.00,314.00,314.00,24.00,144.56,18.56,31000.00,-,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,CE,2120.00,-,-,-,523.90,-,297.40,-,-,-,-,-,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,CE,2140.00,-,-,-,506.95,-,279.45,-,-,-,-,-,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,CE,2160.00,-,-,-,490.25,-,261.85,-,-,-,-,-,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,CE,2180.00,-,-,-,473.80,-,244.65,-,-,-,-,-,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,CE,2200.00,200.00,222.00,198.00,219.05,221.00,219.05,106.00,638.46,55.46,55500.00,-2500.00,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,CE,2220.00,188.00,199.50,183.80,199.50,199.50,211.75,11.00,66.19,5.14,9750.00,2750.00,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,CE,2240.00,169.50,170.00,167.20,169.00,169.00,196.05,5.00,30.11,2.11,8000.00,750.00,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,CE,2260.00,152.95,168.00,152.95,167.15,166.50,167.15,6.00,36.34,2.44,19250.00,1500.00,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,CE,2280.00,132.50,152.20,132.00,149.85,149.40,149.85,31.00,187.94,11.24,17250.00,4500.00,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,CE,2300.00,109.80,136.00,108.25,133.80,135.00,133.80,780.00,4727.63,242.63,242750.00,-5500.00,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,CE,2320.00,104.70,126.95,102.80,119.75,126.95,119.75,129.00,783.70,35.50,45750.00,4250.00,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,CE,2340.00,89.35,108.00,89.30,104.70,106.50,104.70,509.00,3103.58,125.93,95000.00,3000.00,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,CE,2360.00,77.50,94.00,73.10,91.80,94.00,91.80,1905.00,11643.67,404.17,159000.00,-86500.00,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,CE,2380.00,66.95,82.15,63.90,80.30,82.00,80.30,4902.00,30075.15,908.25,328250.00,-139000.00,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,CE,2400.00,58.00,71.10,54.90,69.65,70.80,69.65,20209.00,124541.21,3287.21,2439500.00,-204750.00,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,CE,2420.00,47.15,62.00,47.15,60.05,62.00,60.05,6800.00,42108.26,968.26,523250.00,164500.00,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,CE,2440.00,41.80,53.10,39.80,50.95,52.70,50.95,6060.00,37688.00,722.00,504250.00,117500.00,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,CE,2460.00,35.35,44.50,34.00,42.65,44.40,42.65,3732.00,23320.91,369.11,390500.00,106000.00,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,CE,2480.00,29.65,38.00,27.65,35.75,37.50,35.75,2408.00,15128.30,198.70,222750.00,22250.00,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,CE,2500.00,24.60,31.55,22.25,30.15,31.20,30.15,12219.00,77214.42,845.67,2068250.00,-233500.00,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,CE,2520.00,21.10,26.45,19.80,24.75,26.00,24.75,1370.00,8708.99,77.99,167500.00,3500.00,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,CE,2540.00,17.55,21.35,16.55,20.45,21.30,20.45,1521.00,9730.74,72.39,181750.00,-5500.00,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,CE,2560.00,15.95,18.00,13.65,16.75,18.00,16.75,1070.00,6889.18,41.18,110500.00,20250.00,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,CE,2580.00,12.30,14.55,11.25,13.80,14.55,13.80,827.00,5360.71,26.56,62000.00,2750.00,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,CE,2600.00,10.00,12.00,9.45,11.40,12.00,11.40,5623.00,36697.77,148.27,1215750.00,70250.00,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,CE,2620.00,9.95,10.00,7.65,9.35,9.95,9.35,1054.00,6926.43,22.73,108750.00,40750.00,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,CE,2640.00,7.40,8.35,6.45,7.85,8.35,7.85,600.00,3971.02,11.02,49500.00,7000.00,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,CE,2660.00,6.70,7.05,5.55,6.65,7.05,6.65,602.00,4012.69,9.39,64500.00,3750.00,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,CE,2680.00,6.65,6.65,4.85,5.75,6.05,5.75,501.00,3363.51,6.81,20000.00,-250.00,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,CE,2700.00,5.70,5.80,4.35,5.00,5.30,5.00,1947.00,13165.48,23.23,670500.00,24250.00,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,CE,2720.00,4.85,4.85,3.70,4.65,4.65,10.75,3.00,20.43,0.03,8750.00,-,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,CE,2740.00,4.10,4.95,2.15,3.85,4.55,3.85,136.00,932.90,1.30,22250.00,13500.00,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,CE,2760.00,3.55,3.70,3.00,3.40,3.20,3.40,24.00,165.81,0.21,9750.00,4750.00,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,CE,2780.00,-,-,-,125.60,-,6.45,-,-,-,-,-,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,CE,2800.00,3.30,3.50,2.25,2.55,2.80,2.55,808.00,5661.76,5.76,273750.00,26250.00,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,CE,2820.00,1.95,2.70,1.85,2.05,2.70,2.05,27.00,190.49,0.14,6750.00,6500.00,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,CE,2840.00,-,-,-,106.60,-,3.75,-,-,-,-,-,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,CE,2860.00,-,-,-,100.80,-,3.10,-,-,-,-,-,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,CE,2880.00,-,-,-,95.30,-,2.60,-,-,-,-,-,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,CE,2900.00,2.70,2.70,1.95,2.10,2.15,2.10,216.00,1567.13,1.13,64250.00,1750.00,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,CE,2920.00,-,-,-,85.10,-,1.75,-,-,-,-,-,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,CE,2940.00,-,-,-,80.35,-,1.45,-,-,-,-,-,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,CE,2960.00,-,-,-,75.80,-,1.20,-,-,-,-,-,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,CE,2980.00,-,-,-,71.45,-,0.95,-,-,-,-,-,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,CE,3000.00,2.00,2.35,1.65,1.95,1.75,1.95,416.00,3121.91,1.91,254250.00,42750.00,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,CE,3020.00,-,-,-,63.30,-,0.65,-,-,-,-,-,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,CE,3040.00,-,-,-,59.60,-,0.50,-,-,-,-,-,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,CE,3060.00,-,-,-,56.05,-,0.40,-,-,-,-,-,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,CE,3080.00,-,-,-,52.70,-,0.35,-,-,-,-,-,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,CE,3100.00,1.65,1.65,1.00,1.30,1.25,1.30,80.00,620.23,0.23,36500.00,9500.00,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,CE,3120.00,-,-,-,46.55,-,0.20,-,-,-,-,-,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,CE,3140.00,-,-,-,43.70,-,0.20,-,-,-,-,-,2403.85
RELIANCE,04-Jan-2022,27-Jan-2022,CE,1800.00,-,-,-,523.00,523.00,662.60,-,-,-,5250.00,-,2458.10
RELIANCE,04-Jan-2022,27-Jan-2022,CE,1820.00,-,-,-,799.25,-,642.65,-,-,-,-,-,2458.10
RELIANCE,04-Jan-2022,27-Jan-2022,CE,1840.00,-,-,-,780.00,-,622.75,-,-,-,-,-,2458.10
RELIANCE,04-Jan-2022,27-Jan-2022,CE,1860.00,-,-,-,760.85,-,602.80,-,-,-,-,-,2458.10
RELIANCE,04-Jan-2022,27-Jan-2022,CE,1880.00,-,-,-,741.80,-,582.85,-,-,-,-,-,2458.10
RELIANCE,04-Jan-2022,27-Jan-2022,CE,1900.00,-,-,-,722.85,-,562.95,-,-,-,-,-,2458.10
RELIANCE,04-Jan-2022,27-Jan-2022,CE,1920.00,-,-,-,704.00,-,543.05,-,-,-,-,-,2458.10
RELIANCE,04-Jan-2022,27-Jan-2022,CE,1940.00,-,-,-,685.25,-,523.20,-,-,-,-,-,2458.10
RELIANCE,04-Jan-2022,27-Jan-2022,CE,1960.00,-,-,-,666.65,-,503.35,-,-,-,-,-,2458.10
RELIANCE,04-Jan-2022,27-Jan-2022,CE,1980.00,-,-,-,648.20,-,483.60,-,-,-,-,-,2458.10
RELIANCE,04-Jan-2022,27-Jan-2022,CE,2000.00,437.70,437.70,437.70,437.70,437.70,463.85,1.00,6.09,1.09,2250.00,250.00,2458.10
RELIANCE,04-Jan-2022,27-Jan-2022,CE,2020.00,-,-,-,611.75,-,444.15,-,-,-,-,-,2458.10
RELIANCE,04-Jan-2022,27-Jan-2022,CE,2040.00,-,-,-,593.80,-,424.60,-,-,-,-,-,2458.10
RELIANCE,04-Jan-2022,27-Jan-2022,CE,2060.00,-,-,-,576.00,-,405.10,-,-,-,-,-,2458.10
RELIANCE,04-Jan-2022,27-Jan-2022,CE,2080.00,-,-,-,558.45,-,385.80,-,-,-,-,-,2458.10
RELIANCE,04-Jan-2022,27-Jan-2022,CE,2100.00,339.70,364.00,335.00,362.15,362.40,362.15,29.00,177.19,24.94,29750.00,-1250.00,2458.10
RELIANCE,04-Jan-2022,27-Jan-2022,CE,2120.00,-,-,-,523.90,-,347.65,-,-,-,-,-,2458.10
RELIANCE,04-Jan-2022,27-Jan-2022,CE,2140.00,-,-,-,506.95,-,328.85,-,-,-,-,-,2458.10
RELIANCE,04-Jan-2022,27-Jan-2022,CE,2160.00,-,-,-,490.25,-,310.40,-,-,-,-,-,2458.10
RELIANCE,04-Jan-2022,27-Jan-2022,CE,2180.00,-,-,-,473.80,-,292.20,-,-,-,-,-,2458.10
RELIANCE,04-Jan-2022,27-Jan-2022,CE,2200.00,226.00,269.70,226.00,266.95,269.70,266.95,110.00,673.72,68.72,52000.00,-3500.00,2458.10
RELIANCE,04-Jan-2022,27-Jan-2022,CE,2220.00,221.00,223.70,217.90,223.70,223.70,256.90,3.00,18.31,1.66,9500.00,-250.00,2458.10
RELIANCE,04-Jan-2022,27-Jan-2022,CE,2240.00,202.95,228.65,202.00,228.65,228.65,228.65,36.00,220.48,18.88,10500.00,2500.00,2458.10
RELIANCE,04-Jan-2022,27-Jan-2022,CE,2260.00,178.35,207.50,178.35,207.25,207.50,207.25,6.00,36.73,2.83,18750.00,-500.00,2458.10
RELIANCE,04-Jan-2022,27-Jan-2022,CE,2280.00,170.90,191.00,168.00,191.00,191.00,191.00,18.00,110.57,7.97,17000.00,-250.00,2458.10
