Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
RELIANCE,03-Jan-2022,27-Jan-2022,PE,1800.00,2.00,2.40,1.45,1.80,2.00,1.80,111.00,500.00,0.50,43000.00,6000.00,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,PE,1820.00,-,-,-,3.20,-,0.10,-,-,-,-,-,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,PE,1840.00,-,-,-,3.80,-,0.10,-,-,-,-,-,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,PE,1860.00,-,-,-,4.45,-,0.15,-,-,-,-,-,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,PE,1880.00,-,-,-,5.20,-,0.25,-,-,-,-,-,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,PE,1900.00,2.25,2.40,1.90,2.00,2.00,2.00,86.00,408.96,0.46,63750.00,4750.00,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,PE,1920.00,-,-,-,7.00,-,0.50,-,-,-,-,-,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,PE,1940.00,-,-,-,8.10,-,0.65,-,-,-,-,-,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,PE,1960.00,-,-,-,9.30,-,0.95,-,-,-,-,-,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,PE,1980.00,-,-,-,10.65,-,1.25,-,-,-,-,-,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,PE,2000.00,3.40,3.55,2.30,2.45,2.35,2.45,496.00,2483.31,3.31,186250.00,13250.00,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,PE,2020.00,-,-,-,13.80,-,2.25,-,-,-,-,-,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,PE,2040.00,-,-,-,15.65,-,3.00,-,-,-,-,-,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,PE,2060.00,2.05,2.40,2.00,2.20,2.25,2.20,29.00,149.51,0.16,6500.00,6500.00,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,PE,2080.00,-,-,-,19.90,-,5.00,-,-,-,-,-,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,PE,2100.00,5.40,5.40,3.30,3.55,3.65,3.55,1405.00,7390.90,14.65,352000.00,20500.00,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,PE,2120.00,5.85,5.85,3.45,3.70,3.95,3.70,400.00,2124.29,4.29,28250.00,5250.00,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,PE,2140.00,4.60,7.05,3.85,4.20,4.45,4.20,810.00,4344.10,10.60,119250.00,41750.00,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,PE,2160.00,7.50,8.05,4.65,4.95,5.15,4.95,472.00,2555.75,6.95,78250.00,1500.00,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,PE,2180.00,8.00,9.55,5.35,5.75,6.05,5.75,606.00,3313.27,10.57,26250.00,1000.00,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,PE,2200.00,11.85,11.85,6.40,7.05,7.30,7.05,5539.00,30580.46,115.96,1703750.00,-73500.00,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,PE,2220.00,12.25,14.10,8.05,8.60,8.85,8.60,976.00,5442.69,25.89,93250.00,6000.00,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,PE,2240.00,15.45,16.65,9.85,10.60,10.80,10.60,1760.00,9910.23,54.23,169750.00,42750.00,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,PE,2260.00,20.00,21.30,12.40,13.25,13.40,13.25,1707.00,9710.75,66.20,234000.00,8000.00,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,PE,2280.00,24.40,26.10,15.70,16.60,16.75,16.60,1156.00,6645.31,56.11,108250.00,30000.00,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,PE,2300.00,34.85,34.85,19.55,20.75,20.85,20.75,5714.00,33200.81,345.31,941500.00,14250.00,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,PE,2320.00,39.00,40.15,24.50,25.95,26.10,25.95,1404.00,8245.66,102.46,146750.00,8750.00,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,PE,2340.00,48.15,48.15,30.15,32.05,32.60,32.05,1886.00,11205.08,171.98,239250.00,11250.00,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,PE,2360.00,57.00,60.40,37.05,38.85,40.00,38.85,3649.00,21933.28,404.18,322750.00,-38500.00,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,PE,2380.00,67.20,67.55,44.90,46.95,46.55,46.95,3743.00,22761.96,491.11,295250.00,30750.00,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,PE,2400.00,80.00,80.00,53.40,56.05,54.25,56.05,5603.00,34463.83,845.83,1375750.00,-5750.00,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,PE,2420.00,85.65,85.65,63.80,66.40,66.00,66.40,853.00,5313.69,153.04,81750.00,5000.00,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,PE,2440.00,94.00,94.75,74.75,77.25,78.95,77.25,217.00,1367.14,43.44,81000.00,-7750.00,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,PE,2460.00,100.00,100.00,86.05,88.55,90.90,88.55,281.00,1792.44,64.29,96750.00,9250.00,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,PE,2480.00,116.35,116.35,105.70,106.00,106.00,129.30,3.00,19.42,0.82,46750.00,-,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,PE,2500.00,137.40,137.50,112.80,116.30,115.00,116.30,420.00,2752.87,127.87,442500.00,-23500.00,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,PE,2520.00,150.00,150.00,131.00,131.00,131.00,156.05,2.00,13.30,0.70,54500.00,-250.00,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,PE,2540.00,168.10,168.10,168.10,168.10,168.10,170.30,1.00,6.77,0.42,20000.00,250.00,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,PE,2560.00,179.00,179.00,176.50,176.50,176.50,185.25,8.00,54.77,3.57,23500.00,1750.00,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,PE,2580.00,-,-,-,193.00,193.00,200.55,-,-,-,1000.00,-,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,PE,2600.00,226.40,226.40,194.60,196.05,196.30,196.05,93.00,652.64,48.14,235000.00,1250.00,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,PE,2620.00,-,-,-,230.00,230.00,232.70,-,-,-,500.00,-,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,PE,2640.00,-,-,-,250.00,250.00,249.45,-,-,-,500.00,-,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,PE,2660.00,-,-,-,309.50,309.50,266.55,-,-,-,500.00,-,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,PE,2680.00,-,-,-,218.85,-,284.00,-,-,-,-,-,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,PE,2700.00,312.00,312.00,291.00,291.00,291.00,301.75,8.00,60.04,6.04,134000.00,750.00,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,PE,2720.00,-,-,-,316.10,316.10,319.80,-,-,-,3500.00,-,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,PE,2740.00,-,-,-,370.00,370.00,338.10,-,-,-,4750.00,-,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,PE,2760.00,-,-,-,343.50,343.50,356.65,-,-,-,2500.00,-,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,PE,2780.00,-,-,-,280.35,-,375.35,-,-,-,-,-,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,PE,2800.00,410.00,412.00,391.90,391.90,391.90,394.25,6.00,48.02,6.03,20000.00,750.00,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,PE,2820.00,-,-,-,307.05,-,413.30,-,-,-,-,-,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,PE,2840.00,-,-,-,320.80,-,432.50,-,-,-,-,-,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,PE,2860.00,-,-,-,334.80,-,451.80,-,-,-,-,-,2403.85
RELIANCE,03-Jan-2022,27-Jan-2022,PE,2880.00,-,-,-,349.10,-,471.25,-,-,-,-,-,2403.85
