Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
RELIANCE,02-Jan-2023,25-Jan-2023,PE,1920.00,-,-,-,9.80,-,-,-,-,-,-,-,2575.90
RELIANCE,02-Jan-2023,25-Jan-2023,PE,1920.00,-,-,-,9.80,-,-,-,-,-,-,-,2575.90
RELIANCE,02-Jan-2023,25-Jan-2023,PE,1940.00,-,-,-,11.35,-,0.05,-,-,-,-,-,2575.90
RELIANCE,02-Jan-2023,25-Jan-2023,PE,1940.00,-,-,-,11.35,-,0.05,-,-,-,-,-,2575.90
RELIANCE,02-Jan-2023,25-Jan-2023,PE,1960.00,-,-,-,13.05,-,0.05,-,-,-,-,-,2575.90
RELIANCE,02-Jan-2023,25-Jan-2023,PE,1960.00,-,-,-,13.05,-,0.05,-,-,-,-,-,2575.90
RELIANCE,02-Jan-2023,25-Jan-2023,PE,1980.00,-,-,-,14.95,-,0.05,-,-,-,-,-,2575.90
RELIANCE,02-Jan-2023,25-Jan-2023,PE,1980.00,-,-,-,14.95,-,0.05,-,-,-,-,-,2575.90
RELIANCE,02-Jan-2023,25-Jan-2023,PE,2000.00,1.15,1.15,0.80,0.85,0.85,0.85,139.00,695.30,0.30,45500.00,500.00,2575.90
RELIANCE,02-Jan-2023,25-Jan-2023,PE,2000.00,1.15,1.15,0.80,0.85,0.85,0.85,139.00,695.30,0.30,45500.00,500.00,2575.90
RELIANCE,02-Jan-2023,25-Jan-2023,PE,2020.00,-,-,-,19.40,-,0.05,-,-,-,-,-,2575.90
RELIANCE,02-Jan-2023,25-Jan-2023,PE,2020.00,-,-,-,19.40,-,0.05,-,-,-,-,-,2575.90
RELIANCE,02-Jan-2023,25-Jan-2023,PE,2040.00,-,-,-,21.95,-,0.10,-,-,-,-,-,2575.90
RELIANCE,02-Jan-2023,25-Jan-2023,PE,2040.00,-,-,-,21.95,-,0.10,-,-,-,-,-,2575.90
