Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
RELIANCE,03-Jul-2023,27-Jul-2023,CE,2040.00,-,-,-,465.00,465.00,585.15,-,-,-,2000.00,-,2615.70
RELIANCE,03-Jul-2023,27-Jul-2023,CE,2060.00,-,-,-,376.85,-,565.25,-,-,-,-,-,2615.70
RELIANCE,03-Jul-2023,27-Jul-2023,CE,2080.00,-,-,-,360.40,-,545.35,-,-,-,-,-,2615.70
RELIANCE,03-Jul-2023,27-Jul-2023,CE,2100.00,-,-,-,448.55,448.55,525.45,-,-,-,5000.00,-,2615.70
RELIANCE,03-Jul-2023,27-Jul-2023,CE,2120.00,-,-,-,328.55,-,505.55,-,-,-,-,-,2615.70
RELIANCE,03-Jul-2023,27-Jul-2023,CE,2140.00,-,-,-,313.15,-,485.70,-,-,-,-,-,2615.70
RELIANCE,03-Jul-2023,27-Jul-2023,CE,2160.00,-,-,-,298.15,-,465.85,-,-,-,-,-,2615.70
RELIANCE,03-Jul-2023,27-Jul-2023,CE,2180.00,-,-,-,283.55,-,446.00,-,-,-,-,-,2615.70
RELIANCE,03-Jul-2023,27-Jul-2023,CE,2200.00,381.00,425.65,381.00,423.00,423.00,426.25,7.00,45.59,7.09,9750.00,250.00,2615.70
RELIANCE,03-Jul-2023,27-Jul-2023,CE,2220.00,-,-,-,255.35,-,406.50,-,-,-,-,-,2615.70
RELIANCE,03-Jul-2023,27-Jul-2023,CE,2240.00,-,-,-,241.95,-,386.80,-,-,-,-,-,2615.70
RELIANCE,03-Jul-2023,27-Jul-2023,CE,2260.00,-,-,-,257.90,257.90,367.25,-,-,-,250.00,-,2615.70
RELIANCE,03-Jul-2023,27-Jul-2023,CE,2280.00,-,-,-,216.35,-,347.75,-,-,-,-,-,2615.70
RELIANCE,03-Jul-2023,27-Jul-2023,CE,2300.00,286.55,334.00,282.85,334.00,334.00,334.00,16.00,104.42,12.42,45250.00,250.00,2615.70
RELIANCE,03-Jul-2023,27-Jul-2023,CE,2320.00,-,-,-,192.55,-,309.30,-,-,-,-,-,2615.70
RELIANCE,03-Jul-2023,27-Jul-2023,CE,2340.00,-,-,-,181.35,-,290.40,-,-,-,-,-,2615.70
RELIANCE,03-Jul-2023,27-Jul-2023,CE,2360.00,260.00,260.00,260.00,260.00,260.00,271.75,1.00,6.55,0.65,1250.00,-,2615.70
RELIANCE,03-Jul-2023,27-Jul-2023,CE,2380.00,196.95,197.95,196.25,196.25,196.25,253.40,4.00,25.77,1.97,1250.00,750.00,2615.70
RELIANCE,03-Jul-2023,27-Jul-2023,CE,2400.00,177.95,242.15,175.65,235.10,236.00,235.10,378.00,2468.31,200.31,124500.00,-15750.00,2615.70
RELIANCE,03-Jul-2023,27-Jul-2023,CE,2420.00,158.45,170.90,158.45,170.90,170.90,217.95,5.00,32.27,2.02,96500.00,-,2615.70
RELIANCE,03-Jul-2023,27-Jul-2023,CE,2440.00,138.20,197.10,138.20,197.10,197.10,197.10,45.00,292.63,18.13,48250.00,-500.00,2615.70
RELIANCE,03-Jul-2023,27-Jul-2023,CE,2460.00,122.70,182.50,122.10,177.75,180.00,177.75,158.00,1027.97,56.27,59500.00,500.00,2615.70
RELIANCE,03-Jul-2023,27-Jul-2023,CE,2480.00,104.50,167.35,103.85,158.40,158.00,158.40,335.00,2183.51,106.51,61000.00,-8250.00,2615.70
RELIANCE,03-Jul-2023,27-Jul-2023,CE,2500.00,86.25,152.00,86.25,140.80,140.00,140.80,11540.00,75581.09,3456.09,684500.00,-275750.00,2615.70
RELIANCE,03-Jul-2023,27-Jul-2023,CE,2520.00,73.90,133.50,72.60,123.10,123.00,123.10,3311.00,21662.67,803.37,148750.00,-131250.00,2615.70
RELIANCE,03-Jul-2023,27-Jul-2023,CE,2540.00,61.00,117.00,60.05,106.95,106.00,106.95,8554.00,56090.96,1773.06,472500.00,-286000.00,2615.70
RELIANCE,03-Jul-2023,27-Jul-2023,CE,2560.00,50.15,102.30,49.05,92.30,92.00,92.30,14007.00,92016.32,2371.52,702750.00,-347250.00,2615.70
RELIANCE,03-Jul-2023,27-Jul-2023,CE,2580.00,41.95,88.10,39.50,79.05,78.00,79.05,18051.00,119171.24,2742.29,281000.00,-73000.00,2615.70
RELIANCE,03-Jul-2023,27-Jul-2023,CE,2600.00,33.00,76.00,31.80,67.10,66.50,67.10,79192.00,525842.89,11094.89,2333750.00,-92750.00,2615.70
RELIANCE,03-Jul-2023,27-Jul-2023,CE,2620.00,25.80,64.75,24.45,56.40,56.00,56.40,28661.00,191303.74,3574.19,704750.00,401000.00,2615.70
RELIANCE,03-Jul-2023,27-Jul-2023,CE,2640.00,21.00,54.60,19.80,46.75,46.80,46.75,28091.00,188235.94,2835.34,562500.00,218500.00,2615.70
RELIANCE,03-Jul-2023,27-Jul-2023,CE,2660.00,16.55,45.90,15.85,38.75,38.40,38.75,16921.00,113902.62,1377.97,566250.00,269750.00,2615.70
RELIANCE,03-Jul-2023,27-Jul-2023,CE,2680.00,13.85,38.15,12.60,31.95,31.75,31.95,11422.00,77283.24,755.84,347000.00,186750.00,2615.70
RELIANCE,03-Jul-2023,27-Jul-2023,CE,2700.00,13.35,31.90,9.60,26.25,26.00,26.25,54065.00,367998.95,3060.20,2213750.00,765250.00,2615.70
RELIANCE,03-Jul-2023,27-Jul-2023,CE,2720.00,8.45,26.00,8.30,21.05,20.85,21.05,7930.00,54280.50,356.50,291500.00,165000.00,2615.70
RELIANCE,03-Jul-2023,27-Jul-2023,CE,2740.00,7.05,21.15,6.75,17.05,17.00,17.05,4839.00,33330.96,183.81,274500.00,146000.00,2615.70
RELIANCE,03-Jul-2023,27-Jul-2023,CE,2760.00,6.00,17.50,5.55,13.85,13.85,13.85,3167.00,21951.03,98.73,145250.00,121500.00,2615.70
RELIANCE,03-Jul-2023,27-Jul-2023,CE,2780.00,4.75,14.20,4.65,11.20,11.25,11.20,2538.00,17699.13,60.03,137500.00,62250.00,2615.70
RELIANCE,03-Jul-2023,27-Jul-2023,CE,2800.00,3.95,11.80,3.90,9.20,9.10,9.20,17957.00,126048.25,349.25,920500.00,138000.00,2615.70
RELIANCE,03-Jul-2023,27-Jul-2023,CE,2820.00,3.75,9.55,3.35,7.65,7.75,7.65,1251.00,8839.15,19.60,67250.00,25500.00,2615.70
RELIANCE,03-Jul-2023,27-Jul-2023,CE,2840.00,3.00,7.90,2.75,6.30,6.50,6.30,1350.00,9601.37,16.37,79750.00,36750.00,2615.70
RELIANCE,03-Jul-2023,27-Jul-2023,CE,2860.00,2.00,6.55,2.00,5.35,5.60,5.35,1180.00,8450.13,13.13,62750.00,41500.00,2615.70
RELIANCE,03-Jul-2023,27-Jul-2023,CE,2880.00,2.30,5.55,2.20,4.55,4.80,4.55,560.00,4037.30,5.30,38000.00,30750.00,2615.70
RELIANCE,03-Jul-2023,27-Jul-2023,CE,2900.00,2.00,4.65,1.95,3.90,4.15,3.90,5155.00,37416.35,42.60,271500.00,29000.00,2615.70
