Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
RELIANCE,01-Jul-2024,25-Jul-2024,PE,2360.00,1.00,1.00,0.50,0.50,0.50,-,11.00,64.92,0.03,2250.00,1500.00,3120.30
RELIANCE,01-Jul-2024,25-Jul-2024,PE,2400.00,0.95,1.00,0.90,1.00,1.00,1.00,10.00,60.02,0.02,22000.00,1750.00,3120.30
RELIANCE,01-Jul-2024,25-Jul-2024,PE,2480.00,1.50,1.50,1.00,1.15,1.15,0.05,29.00,179.88,0.08,17500.00,5250.00,3120.30
RELIANCE,01-Jul-2024,25-Jul-2024,PE,2500.00,1.50,1.50,0.80,1.10,1.10,1.10,172.00,1075.46,0.46,127000.00,16750.00,3120.30
RELIANCE,01-Jul-2024,25-Jul-2024,PE,2520.00,1.65,1.65,1.10,1.25,1.25,0.05,24.00,151.27,0.07,12250.00,2750.00,3120.30
RELIANCE,01-Jul-2024,25-Jul-2024,PE,2560.00,2.40,3.90,0.20,1.20,1.20,1.20,264.00,1690.68,1.08,13250.00,6000.00,3120.30
RELIANCE,01-Jul-2024,25-Jul-2024,PE,2600.00,2.35,2.35,1.30,1.40,1.35,1.40,1679.00,10919.91,6.41,239500.00,-136250.00,3120.30
RELIANCE,01-Jul-2024,25-Jul-2024,PE,2620.00,2.00,2.00,1.40,1.45,1.45,1.45,22.00,144.20,0.10,4000.00,750.00,3120.30
RELIANCE,01-Jul-2024,25-Jul-2024,PE,2640.00,2.50,3.10,1.60,1.80,1.80,0.50,27.00,178.34,0.14,2750.00,1000.00,3120.30
RELIANCE,01-Jul-2024,25-Jul-2024,PE,2660.00,2.45,2.85,1.80,1.95,1.95,1.95,38.00,252.90,0.20,23250.00,-1500.00,3120.30
RELIANCE,01-Jul-2024,25-Jul-2024,PE,2680.00,7.25,7.25,2.00,2.30,2.10,2.30,90.00,603.56,0.56,21000.00,-5000.00,3120.30
RELIANCE,01-Jul-2024,25-Jul-2024,PE,2700.00,3.45,3.45,2.20,2.40,2.35,2.40,1469.00,9925.42,9.67,522750.00,-75000.00,3120.30
RELIANCE,01-Jul-2024,25-Jul-2024,PE,2720.00,3.05,3.65,2.35,3.10,3.15,3.10,45.00,306.32,0.32,19250.00,2750.00,3120.30
RELIANCE,01-Jul-2024,25-Jul-2024,PE,2740.00,3.40,4.40,2.25,2.55,2.50,2.55,1201.00,8235.43,8.58,190750.00,7500.00,3120.30
RELIANCE,01-Jul-2024,25-Jul-2024,PE,2760.00,4.35,4.35,2.85,3.20,3.45,3.20,137.00,946.55,1.25,102750.00,-4750.00,3120.30
RELIANCE,01-Jul-2024,25-Jul-2024,PE,2780.00,5.05,5.10,3.90,4.15,4.05,4.15,537.00,3737.89,5.74,110250.00,12500.00,3120.30
RELIANCE,01-Jul-2024,25-Jul-2024,PE,2800.00,5.45,6.00,4.75,5.00,4.90,5.00,4185.00,29349.14,54.14,1422750.00,-71000.00,3120.30
