Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
RELIANCE,01-Jun-2023,29-Jun-2023,PE,1900.00,-,-,-,0.70,0.70,0.05,-,-,-,1500.00,-,2463.25
RELIANCE,01-Jun-2023,29-Jun-2023,PE,1920.00,-,-,-,20.45,-,0.05,-,-,-,-,-,2463.25
RELIANCE,01-Jun-2023,29-Jun-2023,PE,1940.00,-,-,-,23.50,-,0.05,-,-,-,-,-,2463.25
RELIANCE,01-Jun-2023,29-Jun-2023,PE,1960.00,-,-,-,26.85,-,0.10,-,-,-,-,-,2463.25
RELIANCE,01-Jun-2023,29-Jun-2023,PE,1980.00,-,-,-,0.45,0.45,0.15,-,-,-,250.00,-,2463.25
RELIANCE,01-Jun-2023,29-Jun-2023,PE,2000.00,1.20,1.30,1.00,1.10,1.00,1.10,92.00,460.25,0.25,243750.00,1750.00,2463.25
RELIANCE,01-Jun-2023,29-Jun-2023,PE,2020.00,-,-,-,39.20,-,0.30,-,-,-,-,-,2463.25
RELIANCE,01-Jun-2023,29-Jun-2023,PE,2040.00,0.85,1.00,0.85,1.00,1.00,0.45,3.00,15.31,0.01,7000.00,-,2463.25
RELIANCE,01-Jun-2023,29-Jun-2023,PE,2060.00,-,-,-,49.40,-,0.65,-,-,-,-,-,2463.25
RELIANCE,01-Jun-2023,29-Jun-2023,PE,2080.00,-,-,-,55.10,-,0.90,-,-,-,-,-,2463.25
RELIANCE,01-Jun-2023,29-Jun-2023,PE,2100.00,1.60,1.60,1.35,1.45,1.35,1.45,26.00,136.60,0.10,110500.00,1000.00,2463.25
RELIANCE,01-Jun-2023,29-Jun-2023,PE,2120.00,1.80,1.80,1.80,1.80,1.80,1.75,3.00,15.91,0.01,1500.00,750.00,2463.25
RELIANCE,01-Jun-2023,29-Jun-2023,PE,2140.00,-,-,-,2.30,2.30,2.40,-,-,-,250.00,-,2463.25
RELIANCE,01-Jun-2023,29-Jun-2023,PE,2160.00,1.85,1.85,1.85,1.85,1.85,1.85,6.00,32.43,0.03,6500.00,1500.00,2463.25
RELIANCE,01-Jun-2023,29-Jun-2023,PE,2180.00,2.30,2.45,2.00,2.00,2.00,4.25,14.00,76.37,0.07,7500.00,500.00,2463.25
RELIANCE,01-Jun-2023,29-Jun-2023,PE,2200.00,2.15,2.65,1.95,2.25,2.25,2.25,548.00,3017.13,3.13,394500.00,13500.00,2463.25
