Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
RELIANCE,03-Jun-2024,27-Jun-2024,CE,2440.00,-,-,-,581.20,-,592.00,-,-,-,-,-,3020.65
RELIANCE,03-Jun-2024,27-Jun-2024,CE,2480.00,-,-,-,475.00,475.00,552.20,-,-,-,1000.00,-,3020.65
RELIANCE,03-Jun-2024,27-Jun-2024,CE,2520.00,-,-,-,405.00,405.00,512.45,-,-,-,5500.00,-,3020.65
RELIANCE,03-Jun-2024,27-Jun-2024,CE,2560.00,-,-,-,330.00,330.00,472.80,-,-,-,250.00,-,3020.65
RELIANCE,03-Jun-2024,27-Jun-2024,CE,2600.00,350.00,448.00,341.00,445.75,448.00,445.75,39.00,291.54,38.04,69250.00,-5500.00,3020.65
RELIANCE,03-Jun-2024,27-Jun-2024,CE,2620.00,-,-,-,284.25,284.25,413.55,-,-,-,7750.00,-,3020.65
RELIANCE,03-Jun-2024,27-Jun-2024,CE,2640.00,-,-,-,266.55,266.55,393.95,-,-,-,2000.00,-,3020.65
RELIANCE,03-Jun-2024,27-Jun-2024,CE,2660.00,-,-,-,316.15,-,374.45,-,-,-,-,-,3020.65
RELIANCE,03-Jun-2024,27-Jun-2024,CE,2680.00,-,-,-,219.65,219.65,355.05,-,-,-,22000.00,-,3020.65
RELIANCE,03-Jun-2024,27-Jun-2024,CE,2700.00,264.00,352.50,243.00,346.15,352.50,346.15,410.00,3079.89,312.39,95750.00,-20250.00,3020.65
RELIANCE,03-Jun-2024,27-Jun-2024,CE,2720.00,257.30,257.30,257.30,257.30,257.30,316.80,2.00,14.89,1.29,3250.00,-,3020.65
RELIANCE,03-Jun-2024,27-Jun-2024,CE,2740.00,259.45,304.00,258.00,304.00,304.00,298.00,4.00,30.10,2.70,1750.00,-250.00,3020.65
RELIANCE,03-Jun-2024,27-Jun-2024,CE,2760.00,210.10,283.45,192.15,283.45,283.45,279.50,46.00,342.79,25.39,5500.00,-1000.00,3020.65
RELIANCE,03-Jun-2024,27-Jun-2024,CE,2780.00,188.30,276.75,181.15,272.10,274.90,272.10,40.00,300.68,22.68,30750.00,4000.00,3020.65
RELIANCE,03-Jun-2024,27-Jun-2024,CE,2800.00,208.00,260.40,159.00,255.60,258.45,255.60,2615.00,19644.07,1339.07,162750.00,-270500.00,3020.65
RELIANCE,03-Jun-2024,27-Jun-2024,CE,2820.00,157.95,242.45,145.85,236.30,242.45,236.30,227.00,1699.85,99.50,18500.00,-15750.00,3020.65
RELIANCE,03-Jun-2024,27-Jun-2024,CE,2840.00,157.95,225.00,128.50,220.70,225.00,220.70,1096.00,8221.27,439.67,57250.00,-83000.00,3020.65
RELIANCE,03-Jun-2024,27-Jun-2024,CE,2860.00,140.00,211.50,115.10,205.15,207.50,205.15,2435.00,18316.86,906.61,165250.00,-230500.00,3020.65
RELIANCE,03-Jun-2024,27-Jun-2024,CE,2880.00,140.00,193.75,102.80,188.40,193.30,188.40,2170.00,16346.75,722.75,78250.00,-224250.00,3020.65
RELIANCE,03-Jun-2024,27-Jun-2024,CE,2900.00,102.00,178.45,91.40,172.75,177.00,172.75,14849.00,112353.26,4698.01,1017750.00,-635500.00,3020.65
RELIANCE,03-Jun-2024,27-Jun-2024,CE,2920.00,93.45,163.95,81.05,157.60,163.95,157.60,4079.00,30878.89,1102.19,85250.00,-146250.00,3020.65
RELIANCE,03-Jun-2024,27-Jun-2024,CE,2940.00,86.15,149.50,71.40,143.45,149.50,143.45,9484.00,71990.74,2283.34,499250.00,-192500.00,3020.65
RELIANCE,03-Jun-2024,27-Jun-2024,CE,2960.00,89.90,136.30,63.00,130.40,131.00,130.40,14143.00,107942.15,3283.95,362250.00,97750.00,3020.65
RELIANCE,03-Jun-2024,27-Jun-2024,CE,2980.00,69.95,124.60,55.30,118.95,124.25,118.95,13575.00,104308.22,3174.47,201250.00,36250.00,3020.65
RELIANCE,03-Jun-2024,27-Jun-2024,CE,3000.00,65.00,113.00,48.30,107.50,112.90,107.50,75683.00,583462.64,15840.14,2769500.00,-40250.00,3020.65
RELIANCE,03-Jun-2024,27-Jun-2024,CE,3020.00,80.00,102.60,42.30,97.25,102.00,97.25,17821.00,138293.93,3745.38,369250.00,263500.00,3020.65
RELIANCE,03-Jun-2024,27-Jun-2024,CE,3040.00,85.60,93.00,37.00,87.60,93.00,87.60,14567.00,113356.75,2647.55,357750.00,201250.00,3020.65
RELIANCE,03-Jun-2024,27-Jun-2024,CE,3060.00,47.00,83.40,32.35,78.50,82.60,78.50,11501.00,89835.84,1853.19,667750.00,376250.00,3020.65
RELIANCE,03-Jun-2024,27-Jun-2024,CE,3080.00,40.45,76.00,28.60,70.75,76.00,70.75,7381.00,57802.54,968.84,155000.00,106250.00,3020.65
RELIANCE,03-Jun-2024,27-Jun-2024,CE,3100.00,38.25,68.85,25.00,63.65,68.50,63.65,42895.00,337741.87,5305.62,2243750.00,428250.00,3020.65
RELIANCE,03-Jun-2024,27-Jun-2024,CE,3120.00,26.05,61.90,22.05,56.95,61.90,56.95,3991.00,31567.36,437.56,85750.00,43500.00,3020.65
RELIANCE,03-Jun-2024,27-Jun-2024,CE,3140.00,30.00,57.80,19.55,50.85,54.55,50.85,4698.00,37336.18,456.88,170000.00,100500.00,3020.65
RELIANCE,03-Jun-2024,27-Jun-2024,CE,3160.00,30.05,49.50,17.85,45.50,49.50,45.50,4649.00,37156.19,429.09,202500.00,120750.00,3020.65
RELIANCE,03-Jun-2024,27-Jun-2024,CE,3180.00,21.00,44.50,15.60,40.80,44.50,40.80,2940.00,23617.35,244.35,109500.00,23500.00,3020.65
RELIANCE,03-Jun-2024,27-Jun-2024,CE,3200.00,20.00,40.50,13.80,36.70,40.00,36.70,40148.00,323931.32,2747.32,2417000.00,604500.00,3020.65
RELIANCE,03-Jun-2024,27-Jun-2024,CE,3220.00,19.15,37.00,12.75,33.10,36.55,33.10,1980.00,16062.57,123.57,85500.00,82250.00,3020.65
RELIANCE,03-Jun-2024,27-Jun-2024,CE,3240.00,15.30,33.30,11.20,29.50,33.00,29.50,4171.00,33992.41,207.31,227250.00,140250.00,3020.65
RELIANCE,03-Jun-2024,27-Jun-2024,CE,3260.00,24.40,28.85,21.65,26.85,28.85,26.85,151.00,1240.30,9.65,19000.00,19000.00,3020.65
RELIANCE,03-Jun-2024,27-Jun-2024,CE,3280.00,16.00,27.15,8.95,23.85,26.75,23.85,5560.00,45833.56,241.56,349750.00,105500.00,3020.65
RELIANCE,03-Jun-2024,27-Jun-2024,CE,3300.00,19.00,24.70,17.35,21.65,24.70,21.65,2025.00,16809.22,102.97,165250.00,165250.00,3020.65
RELIANCE,03-Jun-2024,27-Jun-2024,CE,3320.00,11.80,22.85,7.50,19.90,22.70,19.90,7662.00,63853.47,258.87,454250.00,178250.00,3020.65
RELIANCE,03-Jun-2024,27-Jun-2024,CE,3340.00,-,-,-,18.90,-,6.40,-,-,-,-,-,3020.65
RELIANCE,03-Jun-2024,27-Jun-2024,CE,3360.00,10.05,18.90,6.40,16.25,18.90,16.25,5894.00,49668.65,159.05,504250.00,-21750.00,3020.65
RELIANCE,03-Jun-2024,27-Jun-2024,CE,3380.00,-,-,-,15.00,-,4.20,-,-,-,-,-,3020.65
RELIANCE,03-Jun-2024,27-Jun-2024,CE,3400.00,6.40,16.50,5.30,13.60,16.00,13.60,16037.00,136712.07,397.57,772500.00,757500.00,3020.65
RELIANCE,03-Jun-2024,27-Jun-2024,CE,3420.00,-,-,-,11.80,-,2.70,-,-,-,-,-,3020.65
RELIANCE,04-Jun-2024,27-Jun-2024,CE,2420.00,-,-,-,533.05,-,386.25,-,-,-,-,-,2794.55
RELIANCE,04-Jun-2024,27-Jun-2024,CE,2440.00,-,-,-,581.20,-,366.75,-,-,-,-,-,2794.55
RELIANCE,04-Jun-2024,27-Jun-2024,CE,2460.00,-,-,-,494.95,-,347.35,-,-,-,-,-,2794.55
RELIANCE,04-Jun-2024,27-Jun-2024,CE,2480.00,-,-,-,475.00,475.00,328.10,-,-,-,1000.00,-,2794.55
RELIANCE,04-Jun-2024,27-Jun-2024,CE,2500.00,-,-,-,457.45,-,309.05,-,-,-,-,-,2794.55
RELIANCE,04-Jun-2024,27-Jun-2024,CE,2520.00,-,-,-,405.00,405.00,290.25,-,-,-,5500.00,-,2794.55
RELIANCE,04-Jun-2024,27-Jun-2024,CE,2540.00,-,-,-,420.60,-,271.75,-,-,-,-,-,2794.55
RELIANCE,04-Jun-2024,27-Jun-2024,CE,2560.00,-,-,-,330.00,330.00,253.55,-,-,-,250.00,-,2794.55
RELIANCE,04-Jun-2024,27-Jun-2024,CE,2580.00,-,-,-,384.70,-,235.75,-,-,-,-,-,2794.55
RELIANCE,04-Jun-2024,27-Jun-2024,CE,2600.00,327.40,327.40,186.55,229.75,241.80,229.75,277.00,1962.82,162.32,66250.00,-3000.00,2794.55
RELIANCE,04-Jun-2024,27-Jun-2024,CE,2620.00,229.70,252.90,218.90,229.15,229.15,201.55,57.00,405.83,32.48,14750.00,7000.00,2794.55
RELIANCE,04-Jun-2024,27-Jun-2024,CE,2640.00,205.10,236.10,187.70,187.70,187.70,187.70,36.00,256.33,18.73,9250.00,7250.00,2794.55
RELIANCE,04-Jun-2024,27-Jun-2024,CE,2660.00,-,-,-,316.15,-,169.50,-,-,-,-,-,2794.55
RELIANCE,04-Jun-2024,27-Jun-2024,CE,2680.00,175.30,189.40,160.85,189.40,189.40,154.55,18.00,128.37,7.77,22500.00,500.00,2794.55
RELIANCE,04-Jun-2024,27-Jun-2024,CE,2700.00,269.00,275.00,121.05,160.50,165.05,160.50,1982.00,14204.45,825.95,188750.00,93000.00,2794.55
RELIANCE,04-Jun-2024,27-Jun-2024,CE,2720.00,-,-,-,257.30,257.30,126.45,-,-,-,3250.00,-,2794.55
RELIANCE,04-Jun-2024,27-Jun-2024,CE,2740.00,143.20,163.15,100.00,131.70,137.80,131.70,843.00,6043.12,268.57,32500.00,30750.00,2794.55
RELIANCE,04-Jun-2024,27-Jun-2024,CE,2760.00,127.70,149.40,92.05,119.70,123.15,119.70,1002.00,7212.18,298.38,44750.00,39250.00,2794.55
RELIANCE,04-Jun-2024,27-Jun-2024,CE,2780.00,198.00,198.00,79.20,109.45,110.00,109.45,1646.00,11901.01,461.31,98750.00,68000.00,2794.55
RELIANCE,04-Jun-2024,27-Jun-2024,CE,2800.00,190.00,191.50,75.10,100.40,103.00,100.40,16776.00,121989.94,4557.94,1042750.00,880000.00,2794.55
RELIANCE,04-Jun-2024,27-Jun-2024,CE,2820.00,166.95,166.95,68.30,89.85,91.00,89.85,4594.00,33517.45,1129.75,144000.00,125500.00,2794.55
RELIANCE,04-Jun-2024,27-Jun-2024,CE,2840.00,125.85,161.05,65.00,80.55,82.00,80.55,5886.00,43113.34,1322.74,210500.00,153250.00,2794.55
RELIANCE,04-Jun-2024,27-Jun-2024,CE,2860.00,112.65,145.90,58.25,71.90,73.00,71.90,6752.00,49729.05,1452.25,282000.00,116750.00,2794.55
RELIANCE,04-Jun-2024,27-Jun-2024,CE,2880.00,116.95,132.10,51.20,63.90,65.00,63.90,6426.00,47492.24,1225.04,221500.00,143250.00,2794.55
RELIANCE,04-Jun-2024,27-Jun-2024,CE,2900.00,129.20,129.20,45.10,56.95,58.05,56.95,30909.00,229964.85,5874.60,1694750.00,677000.00,2794.55
RELIANCE,04-Jun-2024,27-Jun-2024,CE,2920.00,107.25,107.25,43.00,50.60,52.00,50.60,10268.00,76769.17,1812.77,277750.00,192500.00,2794.55
RELIANCE,04-Jun-2024,27-Jun-2024,CE,2940.00,110.90,110.90,38.10,45.65,40.00,45.65,12742.00,95690.88,2037.18,651500.00,152250.00,2794.55
RELIANCE,04-Jun-2024,27-Jun-2024,CE,2960.00,99.65,99.65,34.90,40.90,41.20,40.90,12770.00,96354.71,1856.71,405250.00,43000.00,2794.55
RELIANCE,04-Jun-2024,27-Jun-2024,CE,2980.00,89.70,89.70,31.30,36.40,36.70,36.40,9122.00,69090.61,1131.71,307250.00,106000.00,2794.55
RELIANCE,04-Jun-2024,27-Jun-2024,CE,3000.00,84.00,98.50,28.05,32.70,33.20,32.70,64686.00,492348.92,7203.92,4040500.00,1271000.00,2794.55
RELIANCE,04-Jun-2024,27-Jun-2024,CE,3020.00,71.00,83.00,25.80,28.95,29.60,28.95,10453.00,79916.36,996.21,446000.00,76750.00,2794.55
RELIANCE,04-Jun-2024,27-Jun-2024,CE,3040.00,79.85,79.85,22.65,26.30,26.50,26.30,15176.00,116646.48,1308.88,835250.00,477500.00,2794.55
RELIANCE,04-Jun-2024,27-Jun-2024,CE,3060.00,65.45,65.45,21.45,24.00,23.00,24.00,10194.00,78754.71,770.61,667250.00,-500.00,2794.55
RELIANCE,04-Jun-2024,27-Jun-2024,CE,3080.00,57.75,57.75,18.75,21.80,23.15,21.80,9377.00,72832.10,629.20,222000.00,67000.00,2794.55
