Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
RELIANCE,02-Mar-2022,31-Mar-2022,CE,1800.00,-,-,-,504.90,504.90,604.45,-,-,-,3750.00,-,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,CE,1820.00,-,-,-,568.85,-,584.60,-,-,-,-,-,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,CE,1840.00,-,-,-,550.75,-,564.70,-,-,-,-,-,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,CE,1860.00,-,-,-,532.85,-,544.90,-,-,-,-,-,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,CE,1880.00,-,-,-,515.15,-,525.10,-,-,-,-,-,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,CE,1900.00,-,-,-,396.30,396.30,505.35,-,-,-,250.00,-,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,CE,1920.00,-,-,-,480.45,-,485.65,-,-,-,-,-,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,CE,1940.00,-,-,-,463.45,-,466.00,-,-,-,-,-,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,CE,1960.00,-,-,-,446.75,-,446.50,-,-,-,-,-,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,CE,1980.00,-,-,-,430.25,-,427.05,-,-,-,-,-,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,CE,2000.00,371.80,407.60,370.00,407.55,407.60,407.55,29.00,172.68,27.68,10000.00,4750.00,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,CE,2020.00,-,-,-,398.20,-,388.65,-,-,-,-,-,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,CE,2040.00,-,-,-,382.65,-,369.70,-,-,-,-,-,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,CE,2060.00,-,-,-,367.40,-,351.00,-,-,-,-,-,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,CE,2080.00,-,-,-,352.55,-,332.50,-,-,-,-,-,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,CE,2100.00,267.10,313.00,267.10,313.00,313.00,313.00,21.00,125.50,15.25,49250.00,-1500.00,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,CE,2120.00,261.65,261.65,261.65,261.65,261.65,296.45,1.00,5.95,0.65,23250.00,250.00,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,CE,2140.00,-,-,-,212.85,212.85,278.95,-,-,-,15250.00,-,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,CE,2160.00,231.30,231.30,231.30,231.30,231.30,261.85,2.00,11.96,1.16,500.00,-,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,CE,2180.00,211.05,232.00,211.05,232.00,232.00,245.15,3.00,18.00,1.65,22500.00,250.00,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,CE,2200.00,180.00,222.90,178.60,221.20,221.15,221.20,153.00,918.61,77.11,97250.00,1000.00,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,CE,2220.00,185.40,202.85,170.45,201.30,199.75,201.30,33.00,199.14,15.99,25500.00,3000.00,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,CE,2240.00,155.10,188.05,155.10,185.65,183.95,185.65,73.00,440.89,32.09,31500.00,6750.00,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,CE,2260.00,123.40,171.50,123.40,170.15,171.50,170.15,132.00,795.93,50.13,69000.00,4500.00,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,CE,2280.00,123.00,155.45,118.50,154.20,154.75,154.20,193.00,1166.96,66.86,116000.00,-4250.00,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,CE,2300.00,100.00,141.10,100.00,138.05,139.70,138.05,2891.00,17512.00,888.75,588000.00,-53250.00,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,CE,2320.00,89.95,126.50,89.95,123.30,124.05,123.30,718.00,4356.77,192.37,87750.00,-18000.00,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,CE,2340.00,80.75,113.10,76.95,109.25,108.10,109.25,2220.00,13521.55,534.55,160500.00,-33250.00,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,CE,2360.00,67.55,100.00,67.45,96.20,98.00,96.20,7239.00,44246.32,1536.22,241250.00,-23750.00,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,CE,2380.00,57.05,88.55,57.05,83.95,85.50,83.95,9324.00,57250.02,1772.22,325000.00,45500.00,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,CE,2400.00,52.00,77.00,47.75,73.45,74.80,73.45,28580.00,176239.58,4759.58,1668750.00,-27000.00,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,CE,2420.00,43.15,67.80,42.20,63.60,64.80,63.60,5538.00,34297.74,792.84,281000.00,69500.00,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,CE,2440.00,35.25,57.50,35.00,54.40,55.00,54.40,5311.00,33049.05,651.95,394750.00,71750.00,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,CE,2460.00,29.35,49.35,29.25,46.45,47.25,46.45,5456.00,34126.83,572.43,492750.00,163000.00,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,CE,2480.00,22.25,42.35,22.25,39.85,41.00,39.85,3472.00,21842.86,316.46,233000.00,50750.00,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,CE,2500.00,20.00,36.45,20.00,34.25,35.00,34.25,17365.00,109858.51,1327.26,2048250.00,355000.00,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,CE,2520.00,18.00,30.45,17.75,28.50,29.55,28.50,2536.00,16135.96,159.16,264750.00,40500.00,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,CE,2540.00,14.95,25.80,14.95,24.00,24.70,24.00,2156.00,13804.25,113.65,227000.00,45500.00,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,CE,2560.00,12.45,21.80,12.45,20.40,20.90,20.40,1934.00,12465.66,88.06,229000.00,45500.00,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,CE,2580.00,10.75,18.30,10.35,17.10,17.55,17.10,1504.00,9756.99,56.19,117500.00,27250.00,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,CE,2600.00,9.80,15.65,7.80,14.50,15.00,14.50,6979.00,45586.56,223.06,1284250.00,41750.00,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,CE,2620.00,7.85,13.45,7.80,12.45,13.05,12.45,1100.00,7234.95,29.95,60750.00,12250.00,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,CE,2640.00,6.70,11.45,6.70,10.60,11.00,10.60,957.00,6338.40,22.20,50250.00,12500.00,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,CE,2660.00,6.05,9.95,6.05,9.15,9.50,9.15,908.00,6056.65,18.45,68000.00,12000.00,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,CE,2680.00,6.00,8.60,5.95,7.90,8.10,7.90,633.00,4252.06,10.96,38000.00,-14250.00,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,CE,2700.00,4.00,7.55,4.00,7.00,7.30,7.00,2701.00,18273.85,42.10,701500.00,20000.00,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,CE,2720.00,3.00,6.65,3.00,6.15,6.30,6.15,580.00,3952.17,8.17,38500.00,31500.00,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,CE,2740.00,2.00,5.95,2.00,5.55,5.50,5.55,408.00,2800.17,5.37,52750.00,40500.00,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,CE,2760.00,4.80,5.05,3.55,4.85,4.95,4.85,158.00,1091.87,1.67,16500.00,12500.00,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,CE,2780.00,3.80,4.55,3.45,4.20,4.20,4.20,13.00,90.48,0.13,1750.00,1250.00,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,CE,2800.00,2.95,4.10,2.50,3.85,3.90,3.85,1144.00,8017.89,9.89,194250.00,-3750.00,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,CE,2820.00,5.00,5.00,2.95,3.75,3.80,3.75,15.00,105.87,0.12,2250.00,2250.00,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,CE,2840.00,3.20,3.20,3.10,3.10,3.10,5.35,2.00,14.22,0.02,-,-,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,CE,2860.00,3.00,3.00,2.50,2.50,2.50,2.50,3.00,21.47,0.02,-,-250.00,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,CE,2880.00,-,-,-,35.95,-,3.85,-,-,-,-,-,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,CE,2900.00,2.40,2.65,1.45,2.50,2.55,2.50,762.00,5528.87,4.37,63500.00,12750.00,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,CE,2920.00,-,-,-,31.20,-,2.70,-,-,-,-,-,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,CE,2940.00,-,-,-,29.00,-,2.30,-,-,-,-,-,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,CE,2960.00,-,-,-,27.00,-,1.90,-,-,-,-,-,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,CE,2980.00,-,-,-,25.10,-,1.60,-,-,-,-,-,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,CE,3000.00,1.60,2.05,1.50,1.90,1.95,1.90,169.00,1268.29,0.79,151500.00,-2000.00,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,CE,3020.00,-,-,-,21.65,-,1.10,-,-,-,-,-,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,CE,3040.00,-,-,-,20.10,-,0.90,-,-,-,-,-,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,CE,3060.00,-,-,-,18.60,-,0.75,-,-,-,-,-,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,CE,3080.00,-,-,-,17.25,-,0.65,-,-,-,-,-,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,CE,3100.00,1.25,1.50,1.20,1.35,1.35,1.35,36.00,279.12,0.12,25500.00,1500.00,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,CE,3120.00,-,-,-,14.80,-,0.45,-,-,-,-,-,2398.55
