Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
RELIANCE,02-Mar-2022,31-Mar-2022,PE,1800.00,3.05,3.80,2.50,2.80,2.75,2.80,518.00,2334.98,3.98,190500.00,39000.00,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,PE,1820.00,-,-,-,11.30,-,0.20,-,-,-,-,-,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,PE,1840.00,-,-,-,13.00,-,0.25,-,-,-,-,-,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,PE,1860.00,-,-,-,14.90,-,0.35,-,-,-,-,-,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,PE,1880.00,-,-,-,3.75,3.75,0.50,-,-,-,250.00,-,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,PE,1900.00,5.05,5.35,3.80,4.00,3.90,4.00,550.00,2618.70,6.20,114250.00,-750.00,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,PE,1920.00,-,-,-,21.90,-,0.90,-,-,-,-,-,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,PE,1940.00,-,-,-,24.70,-,1.25,-,-,-,-,-,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,PE,1960.00,-,-,-,27.75,-,1.65,-,-,-,-,-,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,PE,1980.00,-,-,-,31.10,-,2.15,-,-,-,-,-,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,PE,2000.00,8.05,9.00,6.45,6.75,6.55,6.75,2199.00,11036.29,41.29,598500.00,29500.00,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,PE,2020.00,9.55,9.55,7.10,7.40,7.10,7.40,306.00,1551.58,6.28,11750.00,-3250.00,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,PE,2040.00,9.90,10.60,7.90,8.15,8.05,8.15,444.00,2274.72,10.32,13250.00,2750.00,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,PE,2060.00,10.80,11.90,8.65,9.00,8.90,9.00,628.00,3250.42,16.22,47250.00,750.00,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,PE,2080.00,13.05,13.45,9.70,10.05,9.70,10.05,297.00,1552.98,8.58,29250.00,-2750.00,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,PE,2100.00,14.65,15.35,10.80,11.25,11.00,11.25,2713.00,14331.83,88.58,612500.00,2250.00,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,PE,2120.00,16.05,16.95,11.85,12.30,12.00,12.30,404.00,2155.51,14.31,141000.00,-1750.00,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,PE,2140.00,19.55,20.25,13.35,13.85,13.55,13.85,843.00,4544.46,34.41,111250.00,-20750.00,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,PE,2160.00,19.95,21.80,15.10,15.75,15.10,15.75,923.00,5027.60,43.40,96750.00,3500.00,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,PE,2180.00,21.65,43.80,16.80,17.40,17.10,17.40,883.00,4859.72,47.37,110250.00,-2000.00,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,PE,2200.00,28.95,29.75,19.15,19.85,19.30,19.85,4494.00,24984.86,267.86,809250.00,39500.00,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,PE,2220.00,34.90,34.90,21.50,22.35,22.05,22.35,776.00,4358.86,52.06,114000.00,13750.00,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,PE,2240.00,39.90,40.65,24.65,25.45,24.75,25.45,1413.00,8022.55,109.75,182000.00,-10000.00,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,PE,2260.00,44.70,44.70,27.90,28.85,28.10,28.85,1601.00,9187.26,141.61,139750.00,-22500.00,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,PE,2280.00,89.00,89.00,32.00,33.05,32.00,33.05,1298.00,7529.66,131.06,212750.00,-6000.00,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,PE,2300.00,64.65,64.65,36.10,37.50,36.50,37.50,8629.00,50594.56,977.81,920500.00,51500.00,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,PE,2320.00,62.35,65.45,41.35,42.90,41.50,42.90,2457.00,14563.45,312.85,158250.00,21250.00,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,PE,2340.00,73.05,73.85,47.00,48.95,47.00,48.95,3680.00,22068.65,540.65,164000.00,50000.00,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,PE,2360.00,82.00,82.00,54.15,56.10,54.15,56.10,4839.00,29370.02,819.92,208000.00,28500.00,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,PE,2380.00,90.25,90.25,61.75,64.00,62.50,64.00,3405.00,20910.57,650.82,323000.00,228000.00,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,PE,2400.00,103.75,103.75,70.20,72.15,70.50,72.15,3990.00,24756.40,816.40,700750.00,69000.00,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,PE,2420.00,102.00,109.30,80.40,81.80,80.40,81.80,423.00,2654.46,95.31,37500.00,5750.00,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,PE,2440.00,121.65,122.05,91.70,93.75,92.55,93.75,200.00,1272.12,52.12,77250.00,-3500.00,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,PE,2460.00,127.55,133.25,103.35,105.50,103.35,105.50,100.00,642.89,27.89,49750.00,-4500.00,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,PE,2480.00,142.15,147.00,119.15,119.35,119.35,119.35,45.00,293.84,14.84,32000.00,1000.00,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,PE,2500.00,166.85,166.85,130.00,131.80,130.00,131.80,198.00,1309.63,72.13,269000.00,-5750.00,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,PE,2520.00,166.00,180.45,146.50,146.50,146.50,164.95,44.00,296.12,18.92,45250.00,5750.00,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,PE,2540.00,183.00,197.95,163.15,163.15,163.15,179.10,72.00,490.32,33.12,19250.00,15000.00,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,PE,2560.00,187.00,188.85,176.10,179.25,177.70,179.25,63.00,431.98,28.78,18750.00,13000.00,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,PE,2580.00,-,-,-,280.00,280.00,209.05,-,-,-,9000.00,-,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,PE,2600.00,235.00,255.30,210.00,212.05,210.80,212.05,151.00,1070.52,89.02,223750.00,11750.00,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,PE,2620.00,-,-,-,319.70,-,240.65,-,-,-,-,-,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,PE,2640.00,250.00,250.00,250.00,250.00,250.00,257.10,2.00,14.45,1.25,500.00,-,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,PE,2660.00,-,-,-,260.00,260.00,273.95,-,-,-,750.00,-,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,PE,2680.00,290.00,290.00,290.00,290.00,290.00,291.15,4.00,29.70,2.90,250.00,-750.00,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,PE,2700.00,337.90,341.45,302.30,302.35,302.30,302.35,42.00,318.21,34.71,139500.00,750.00,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,PE,2720.00,-,-,-,335.00,335.00,326.40,-,-,-,3000.00,-,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,PE,2740.00,-,-,-,294.00,294.00,344.45,-,-,-,2500.00,-,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,PE,2760.00,-,-,-,310.00,310.00,362.70,-,-,-,2500.00,-,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,PE,2780.00,-,-,-,443.50,-,381.20,-,-,-,-,-,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,PE,2800.00,-,-,-,521.10,521.10,399.85,-,-,-,15000.00,-,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,PE,2820.00,-,-,-,476.60,-,418.70,-,-,-,-,-,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,PE,2840.00,-,-,-,493.45,-,437.70,-,-,-,-,-,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,PE,2860.00,460.00,460.00,459.00,460.00,460.00,456.80,5.00,41.49,5.75,1250.00,1250.00,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,PE,2880.00,-,-,-,527.65,-,476.05,-,-,-,-,-,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,PE,2900.00,-,-,-,590.40,590.40,495.35,-,-,-,1500.00,-,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,PE,2920.00,-,-,-,562.45,-,514.80,-,-,-,-,-,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,PE,2940.00,-,-,-,580.10,-,534.30,-,-,-,-,-,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,PE,2960.00,-,-,-,597.85,-,553.85,-,-,-,-,-,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,PE,2980.00,-,-,-,615.75,-,573.45,-,-,-,-,-,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,PE,3000.00,600.00,600.00,600.00,600.00,600.00,593.15,1.00,9.00,1.50,250.00,250.00,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,PE,3020.00,-,-,-,651.90,-,612.85,-,-,-,-,-,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,PE,3040.00,-,-,-,670.15,-,632.60,-,-,-,-,-,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,PE,3060.00,-,-,-,688.50,-,652.40,-,-,-,-,-,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,PE,3080.00,-,-,-,706.90,-,672.20,-,-,-,-,-,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,PE,3100.00,-,-,-,725.45,-,692.00,-,-,-,-,-,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,PE,3120.00,-,-,-,744.05,-,711.85,-,-,-,-,-,2398.55
RELIANCE,02-Mar-2022,31-Mar-2022,PE,3140.00,-,-,-,762.75,-,731.70,-,-,-,-,-,2398.55
RELIANCE,03-Mar-2022,31-Mar-2022,PE,1800.00,2.15,3.10,1.90,2.85,2.95,2.85,186.00,838.21,1.21,196750.00,6250.00,2378.30
RELIANCE,03-Mar-2022,31-Mar-2022,PE,1820.00,-,-,-,11.30,-,0.20,-,-,-,-,-,2378.30
RELIANCE,03-Mar-2022,31-Mar-2022,PE,1840.00,-,-,-,13.00,-,0.30,-,-,-,-,-,2378.30
RELIANCE,03-Mar-2022,31-Mar-2022,PE,1860.00,-,-,-,14.90,-,0.40,-,-,-,-,-,2378.30
RELIANCE,03-Mar-2022,31-Mar-2022,PE,1880.00,-,-,-,3.75,3.75,0.55,-,-,-,250.00,-,2378.30
RELIANCE,03-Mar-2022,31-Mar-2022,PE,1900.00,3.15,4.00,2.65,3.70,3.65,3.70,254.00,1208.67,2.17,119250.00,5000.00,2378.30
RELIANCE,03-Mar-2022,31-Mar-2022,PE,1920.00,-,-,-,21.90,-,1.00,-,-,-,-,-,2378.30
RELIANCE,03-Mar-2022,31-Mar-2022,PE,1940.00,-,-,-,24.70,-,1.35,-,-,-,-,-,2378.30
RELIANCE,03-Mar-2022,31-Mar-2022,PE,1960.00,-,-,-,27.75,-,1.80,-,-,-,-,-,2378.30
RELIANCE,03-Mar-2022,31-Mar-2022,PE,1980.00,-,-,-,31.10,-,2.40,-,-,-,-,-,2378.30
RELIANCE,03-Mar-2022,31-Mar-2022,PE,2000.00,5.45,6.50,5.00,6.15,6.20,6.15,1321.00,6624.04,19.04,576500.00,-22000.00,2378.30
RELIANCE,03-Mar-2022,31-Mar-2022,PE,2020.00,5.85,7.20,5.60,6.80,6.75,6.80,161.00,815.63,2.58,13000.00,1250.00,2378.30
RELIANCE,03-Mar-2022,31-Mar-2022,PE,2040.00,6.65,8.05,6.20,7.65,7.45,7.65,192.00,982.62,3.42,13000.00,-250.00,2378.30
RELIANCE,03-Mar-2022,31-Mar-2022,PE,2060.00,7.45,9.00,6.75,8.55,8.50,8.55,325.00,1680.06,6.31,48500.00,1250.00,2378.30
RELIANCE,03-Mar-2022,31-Mar-2022,PE,2080.00,8.40,10.20,7.60,9.65,9.80,9.65,337.00,1759.93,7.53,27000.00,-2250.00,2378.30
RELIANCE,03-Mar-2022,31-Mar-2022,PE,2100.00,9.30,11.65,8.55,11.15,11.15,11.15,1600.00,8440.63,40.63,608500.00,-4000.00,2378.30
RELIANCE,03-Mar-2022,31-Mar-2022,PE,2120.00,10.45,12.80,9.35,12.15,12.10,12.15,455.00,2424.12,12.62,128250.00,-12750.00,2378.30
RELIANCE,03-Mar-2022,31-Mar-2022,PE,2140.00,11.65,14.65,10.05,13.95,13.75,13.95,647.00,3481.77,20.32,117000.00,5750.00,2378.30
RELIANCE,03-Mar-2022,31-Mar-2022,PE,2160.00,13.00,16.60,11.95,15.75,15.70,15.75,623.00,3386.32,22.12,94250.00,-2500.00,2378.30
RELIANCE,03-Mar-2022,31-Mar-2022,PE,2180.00,9.10,18.85,9.10,17.85,17.75,17.85,689.00,3782.36,27.31,111750.00,1500.00,2378.30
RELIANCE,03-Mar-2022,31-Mar-2022,PE,2200.00,19.30,21.85,15.45,20.60,20.65,20.60,3338.00,18512.96,153.96,786500.00,-22750.00,2378.30
RELIANCE,03-Mar-2022,31-Mar-2022,PE,2220.00,22.05,24.65,17.70,23.20,23.10,23.20,858.00,4806.46,44.56,110750.00,-3250.00,2378.30
RELIANCE,03-Mar-2022,31-Mar-2022,PE,2240.00,22.50,28.50,20.40,26.95,26.45,26.95,758.00,4289.27,44.47,170500.00,-11500.00,2378.30
RELIANCE,03-Mar-2022,31-Mar-2022,PE,2260.00,24.20,32.60,23.50,30.85,30.10,30.85,831.00,4752.46,57.31,139500.00,-250.00,2378.30
RELIANCE,03-Mar-2022,31-Mar-2022,PE,2280.00,28.05,37.30,27.20,35.30,34.70,35.30,616.00,3559.90,48.70,198000.00,-14750.00,2378.30
RELIANCE,03-Mar-2022,31-Mar-2022,PE,2300.00,35.95,43.20,30.80,40.50,39.45,40.50,5505.00,32163.69,509.94,913500.00,-7000.00,2378.30
RELIANCE,03-Mar-2022,31-Mar-2022,PE,2320.00,40.00,49.70,36.30,46.80,45.55,46.80,906.00,5350.79,95.99,159500.00,1250.00,2378.30
RELIANCE,03-Mar-2022,31-Mar-2022,PE,2340.00,44.35,57.00,41.80,53.40,53.00,53.40,1334.00,7967.42,163.52,140250.00,-23750.00,2378.30
RELIANCE,03-Mar-2022,31-Mar-2022,PE,2360.00,52.70,65.90,47.70,61.50,60.35,61.50,2145.00,12961.14,305.64,263000.00,55000.00,2378.30
RELIANCE,03-Mar-2022,31-Mar-2022,PE,2380.00,48.65,75.00,48.65,70.80,71.00,70.80,4105.00,25114.15,689.40,355750.00,32750.00,2378.30
