Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
RELIANCE,02-May-2022,26-May-2022,CE,1800.00,-,-,-,1000.00,1000.00,985.35,-,-,-,3250.00,-,2780.45
RELIANCE,02-May-2022,26-May-2022,CE,1820.00,-,-,-,470.95,-,965.40,-,-,-,-,-,2780.45
RELIANCE,02-May-2022,26-May-2022,CE,1840.00,-,-,-,453.50,-,945.45,-,-,-,-,-,2780.45
RELIANCE,02-May-2022,26-May-2022,CE,1860.00,-,-,-,436.35,-,925.50,-,-,-,-,-,2780.45
RELIANCE,02-May-2022,26-May-2022,CE,1880.00,-,-,-,419.45,-,905.55,-,-,-,-,-,2780.45
RELIANCE,02-May-2022,26-May-2022,CE,1900.00,-,-,-,402.85,-,885.60,-,-,-,-,-,2780.45
RELIANCE,02-May-2022,26-May-2022,CE,1920.00,-,-,-,386.55,-,865.70,-,-,-,-,-,2780.45
RELIANCE,02-May-2022,26-May-2022,CE,1940.00,-,-,-,370.55,-,845.75,-,-,-,-,-,2780.45
RELIANCE,02-May-2022,26-May-2022,CE,1960.00,-,-,-,354.90,-,825.80,-,-,-,-,-,2780.45
RELIANCE,02-May-2022,26-May-2022,CE,1980.00,-,-,-,339.60,-,805.85,-,-,-,-,-,2780.45
RELIANCE,02-May-2022,26-May-2022,CE,2000.00,-,-,-,827.25,827.25,785.90,-,-,-,1000.00,-,2780.45
RELIANCE,02-May-2022,26-May-2022,CE,2020.00,-,-,-,310.05,-,765.95,-,-,-,-,-,2780.45
RELIANCE,02-May-2022,26-May-2022,CE,2040.00,-,-,-,295.80,-,746.00,-,-,-,-,-,2780.45
RELIANCE,02-May-2022,26-May-2022,CE,2060.00,-,-,-,281.95,-,726.10,-,-,-,-,-,2780.45
RELIANCE,02-May-2022,26-May-2022,CE,2080.00,-,-,-,268.40,-,706.15,-,-,-,-,-,2780.45
RELIANCE,02-May-2022,26-May-2022,CE,2100.00,-,-,-,699.00,699.00,686.20,-,-,-,1750.00,-,2780.45
RELIANCE,02-May-2022,26-May-2022,CE,2120.00,-,-,-,242.65,-,666.30,-,-,-,-,-,2780.45
RELIANCE,02-May-2022,26-May-2022,CE,2140.00,-,-,-,230.40,-,646.40,-,-,-,-,-,2780.45
RELIANCE,02-May-2022,26-May-2022,CE,2160.00,-,-,-,218.55,-,626.50,-,-,-,-,-,2780.45
RELIANCE,02-May-2022,26-May-2022,CE,2180.00,-,-,-,207.10,-,606.60,-,-,-,-,-,2780.45
RELIANCE,02-May-2022,26-May-2022,CE,2200.00,-,-,-,633.45,633.45,586.75,-,-,-,2250.00,-,2780.45
RELIANCE,02-May-2022,26-May-2022,CE,2220.00,-,-,-,185.50,-,566.95,-,-,-,-,-,2780.45
RELIANCE,02-May-2022,26-May-2022,CE,2240.00,-,-,-,175.25,-,547.15,-,-,-,-,-,2780.45
RELIANCE,02-May-2022,26-May-2022,CE,2260.00,-,-,-,165.45,-,527.45,-,-,-,-,-,2780.45
RELIANCE,02-May-2022,26-May-2022,CE,2280.00,-,-,-,156.05,-,507.75,-,-,-,-,-,2780.45
RELIANCE,02-May-2022,26-May-2022,CE,2300.00,-,-,-,520.00,520.00,488.15,-,-,-,9750.00,-,2780.45
RELIANCE,02-May-2022,26-May-2022,CE,2320.00,-,-,-,138.45,-,468.65,-,-,-,-,-,2780.45
RELIANCE,02-May-2022,26-May-2022,CE,2340.00,-,-,-,130.20,-,449.25,-,-,-,-,-,2780.45
RELIANCE,02-May-2022,26-May-2022,CE,2360.00,-,-,-,438.95,438.95,430.00,-,-,-,500.00,-,2780.45
RELIANCE,02-May-2022,26-May-2022,CE,2380.00,-,-,-,114.90,-,410.90,-,-,-,-,-,2780.45
RELIANCE,02-May-2022,26-May-2022,CE,2400.00,388.00,410.20,383.55,410.00,410.00,391.95,5.00,35.00,5.00,40250.00,-1000.00,2780.45
RELIANCE,02-May-2022,26-May-2022,CE,2420.00,-,-,-,415.80,415.80,373.20,-,-,-,-,-,2780.45
RELIANCE,02-May-2022,26-May-2022,CE,2440.00,340.50,340.50,340.00,340.00,340.00,354.70,3.00,20.85,2.55,1000.00,-,2780.45
RELIANCE,02-May-2022,26-May-2022,CE,2460.00,-,-,-,388.00,388.00,336.50,-,-,-,750.00,-,2780.45
RELIANCE,02-May-2022,26-May-2022,CE,2480.00,304.90,334.85,304.90,334.85,334.85,318.55,2.00,14.00,1.60,500.00,-,2780.45
RELIANCE,02-May-2022,26-May-2022,CE,2500.00,298.00,317.45,279.35,300.65,298.50,300.65,60.00,419.86,44.86,92000.00,2250.00,2780.45
RELIANCE,02-May-2022,26-May-2022,CE,2520.00,267.70,299.10,267.70,299.10,299.10,283.65,2.00,14.02,1.42,13750.00,-,2780.45
RELIANCE,02-May-2022,26-May-2022,CE,2540.00,252.25,281.20,252.25,262.25,264.95,262.25,5.00,35.10,3.35,5500.00,-250.00,2780.45
RELIANCE,02-May-2022,26-May-2022,CE,2560.00,-,-,-,305.00,305.00,250.35,-,-,-,8000.00,-,2780.45
RELIANCE,02-May-2022,26-May-2022,CE,2580.00,227.40,246.40,225.50,225.50,225.50,225.50,3.00,21.10,1.75,3750.00,-250.00,2780.45
RELIANCE,02-May-2022,26-May-2022,CE,2600.00,220.35,233.60,198.00,214.30,212.30,214.30,134.00,943.70,72.70,231250.00,-,2780.45
RELIANCE,02-May-2022,26-May-2022,CE,2620.00,189.00,203.95,184.55,202.40,202.40,204.00,5.00,35.17,2.42,14500.00,-,2780.45
RELIANCE,02-May-2022,26-May-2022,CE,2640.00,181.95,200.00,169.10,183.45,181.80,183.45,53.00,374.17,24.37,18000.00,-750.00,2780.45
RELIANCE,02-May-2022,26-May-2022,CE,2660.00,158.85,181.45,155.60,172.75,172.75,175.55,12.00,84.71,4.91,25500.00,-250.00,2780.45
RELIANCE,02-May-2022,26-May-2022,CE,2680.00,143.00,170.60,141.05,155.20,151.75,155.20,242.00,1714.49,93.09,67500.00,7750.00,2780.45
RELIANCE,02-May-2022,26-May-2022,CE,2700.00,141.15,157.55,127.15,141.00,140.40,141.00,1657.00,11768.02,583.27,629000.00,-1000.00,2780.45
RELIANCE,02-May-2022,26-May-2022,CE,2720.00,125.65,141.25,119.45,128.05,128.00,128.05,30.00,213.57,9.57,36000.00,-1250.00,2780.45
RELIANCE,02-May-2022,26-May-2022,CE,2740.00,114.45,132.25,104.85,116.55,114.35,116.55,967.00,6906.18,282.23,96500.00,7750.00,2780.45
RELIANCE,02-May-2022,26-May-2022,CE,2760.00,105.00,121.00,94.90,105.40,105.95,105.40,2598.00,18613.41,687.21,112250.00,30000.00,2780.45
RELIANCE,02-May-2022,26-May-2022,CE,2780.00,95.65,110.00,85.10,95.75,94.70,95.75,6036.00,43413.78,1463.58,240500.00,74500.00,2780.45
RELIANCE,02-May-2022,26-May-2022,CE,2800.00,90.05,99.25,75.60,85.85,85.40,85.85,20580.00,148604.71,4544.71,1589250.00,253750.00,2780.45
RELIANCE,02-May-2022,26-May-2022,CE,2820.00,74.55,89.10,67.25,76.65,75.85,76.65,5217.00,37810.38,1030.53,275750.00,52000.00,2780.45
RELIANCE,02-May-2022,26-May-2022,CE,2840.00,66.85,79.75,59.35,67.85,68.00,67.85,5079.00,36945.92,885.02,375250.00,-7000.00,2780.45
