Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
RELIANCE,02-May-2024,30-May-2024,PE,2480.00,1.25,1.30,1.05,1.10,1.05,1.10,133.00,825.00,0.40,48250.00,19250.00,2933.10
RELIANCE,02-May-2024,30-May-2024,PE,2520.00,1.30,1.65,1.00,1.00,1.00,0.70,49.00,308.85,0.15,41000.00,2500.00,2933.10
RELIANCE,02-May-2024,30-May-2024,PE,2560.00,1.20,1.45,1.15,1.15,1.15,1.30,8.00,51.23,0.03,11250.00,-250.00,2933.10
RELIANCE,02-May-2024,30-May-2024,PE,2600.00,1.15,1.55,1.10,1.30,1.35,1.30,186.00,1209.60,0.60,267250.00,10750.00,2933.10
RELIANCE,02-May-2024,30-May-2024,PE,2640.00,1.40,1.40,1.05,1.15,1.10,1.15,247.00,1630.95,0.75,160250.00,-500.00,2933.10
RELIANCE,02-May-2024,30-May-2024,PE,2660.00,1.90,1.90,1.45,1.45,1.45,5.45,69.00,459.16,0.31,63000.00,-3000.00,2933.10
RELIANCE,02-May-2024,30-May-2024,PE,2680.00,2.55,2.70,1.75,1.90,1.85,1.90,472.00,3164.97,2.57,151000.00,32250.00,2933.10
RELIANCE,02-May-2024,30-May-2024,PE,2700.00,3.30,3.85,2.45,2.80,2.80,2.80,1348.00,9109.39,10.39,687750.00,-,2933.10
RELIANCE,02-May-2024,30-May-2024,PE,2720.00,4.45,4.65,3.20,3.55,3.40,3.55,483.00,3289.16,4.76,150250.00,3500.00,2933.10
RELIANCE,02-May-2024,30-May-2024,PE,2740.00,4.55,5.80,4.10,4.40,4.20,4.40,996.00,6834.34,11.74,234250.00,7250.00,2933.10
RELIANCE,02-May-2024,30-May-2024,PE,2760.00,7.80,7.80,5.05,5.60,5.10,5.60,938.00,6485.89,13.69,321750.00,-7000.00,2933.10
RELIANCE,02-May-2024,30-May-2024,PE,2780.00,8.00,9.35,6.35,7.15,6.70,7.15,955.00,6654.56,17.31,154750.00,34750.00,2933.10
RELIANCE,02-May-2024,30-May-2024,PE,2800.00,10.00,12.00,8.30,9.20,8.70,9.20,2941.00,20658.22,71.22,1239500.00,30000.00,2933.10
RELIANCE,02-May-2024,30-May-2024,PE,2820.00,11.65,14.85,10.55,11.85,11.00,11.85,1949.00,13798.34,57.89,430250.00,119500.00,2933.10
RELIANCE,02-May-2024,30-May-2024,PE,2840.00,16.45,18.90,13.55,15.05,14.05,15.05,1761.00,12572.20,69.10,523250.00,3250.00,2933.10
RELIANCE,02-May-2024,30-May-2024,PE,2860.00,20.50,23.85,17.40,19.15,18.00,19.15,2878.00,20719.96,142.26,455750.00,105000.00,2933.10
RELIANCE,02-May-2024,30-May-2024,PE,2880.00,25.25,29.75,22.25,24.30,22.75,24.30,2896.00,21034.44,183.24,244000.00,-3500.00,2933.10
RELIANCE,02-May-2024,30-May-2024,PE,2900.00,32.00,36.95,28.00,30.55,28.50,30.55,5861.00,42949.06,456.81,998000.00,1500.00,2933.10
RELIANCE,02-May-2024,30-May-2024,PE,2920.00,38.70,45.05,34.80,37.85,36.25,37.85,4042.00,29899.28,392.68,320000.00,3750.00,2933.10
RELIANCE,02-May-2024,30-May-2024,PE,2940.00,49.35,54.00,42.50,46.10,44.00,46.10,6975.00,52084.48,818.23,506750.00,22500.00,2933.10
RELIANCE,02-May-2024,30-May-2024,PE,2960.00,56.95,64.30,51.50,55.65,52.70,55.65,9155.00,69023.37,1276.37,384000.00,114500.00,2933.10
RELIANCE,02-May-2024,30-May-2024,PE,2980.00,72.65,75.05,61.25,66.00,63.45,66.00,2900.00,22082.15,477.15,164500.00,66000.00,2933.10
RELIANCE,02-May-2024,30-May-2024,PE,3000.00,77.15,87.25,72.25,77.80,73.95,77.80,2058.00,15831.69,396.69,546250.00,5000.00,2933.10
RELIANCE,02-May-2024,30-May-2024,PE,3020.00,91.35,99.75,84.55,90.35,87.00,90.35,274.00,2131.09,62.39,50500.00,12500.00,2933.10
RELIANCE,02-May-2024,30-May-2024,PE,3040.00,114.00,114.10,98.00,103.55,100.40,103.55,97.00,762.20,25.00,38750.00,-500.00,2933.10
RELIANCE,02-May-2024,30-May-2024,PE,3060.00,119.05,129.05,112.75,118.95,116.95,118.95,101.00,802.71,30.06,44500.00,-,2933.10
RELIANCE,02-May-2024,30-May-2024,PE,3080.00,131.55,144.80,128.25,135.80,135.70,135.80,76.00,610.43,25.23,92500.00,-500.00,2933.10
RELIANCE,02-May-2024,30-May-2024,PE,3100.00,147.50,159.70,144.30,151.50,149.35,151.50,147.00,1194.13,54.88,262250.00,-12500.00,2933.10
RELIANCE,02-May-2024,30-May-2024,PE,3120.00,163.45,167.50,163.45,166.85,166.85,193.75,5.00,41.08,2.08,126750.00,-,2933.10
RELIANCE,02-May-2024,30-May-2024,PE,3140.00,183.05,188.80,183.05,185.80,185.80,185.80,53.00,440.66,24.61,47500.00,11750.00,2933.10
RELIANCE,02-May-2024,30-May-2024,PE,3160.00,-,-,-,210.10,211.60,226.75,-,-,-,7500.00,-,2933.10
RELIANCE,02-May-2024,30-May-2024,PE,3180.00,-,-,-,235.95,235.95,243.90,-,-,-,41500.00,-,2933.10
RELIANCE,02-May-2024,30-May-2024,PE,3200.00,250.80,250.80,236.30,242.20,242.20,242.20,11.00,94.65,6.65,100500.00,-,2933.10
RELIANCE,02-May-2024,30-May-2024,PE,3220.00,-,-,-,291.85,289.45,279.35,-,-,-,9750.00,-,2933.10
RELIANCE,02-May-2024,30-May-2024,PE,3240.00,-,-,-,317.55,-,297.50,-,-,-,-,-,2933.10
RELIANCE,02-May-2024,30-May-2024,PE,3280.00,-,-,-,342.00,342.00,334.65,-,-,-,5500.00,-,2933.10
RELIANCE,02-May-2024,30-May-2024,PE,3320.00,-,-,-,394.00,394.00,372.55,-,-,-,1250.00,-,2933.10
RELIANCE,02-May-2024,30-May-2024,PE,3360.00,-,-,-,408.05,408.05,411.10,-,-,-,750.00,-,2933.10
RELIANCE,02-May-2024,30-May-2024,PE,3400.00,-,-,-,451.00,451.00,450.05,-,-,-,16750.00,-,2933.10
RELIANCE,03-May-2024,30-May-2024,PE,2480.00,1.10,2.45,1.05,1.20,1.20,1.20,1053.00,6532.93,4.33,106750.00,58500.00,2868.00
RELIANCE,03-May-2024,30-May-2024,PE,2520.00,1.00,3.55,0.90,1.60,1.10,1.60,595.00,3751.89,3.39,54500.00,13500.00,2868.00
RELIANCE,03-May-2024,30-May-2024,PE,2560.00,1.30,4.40,1.00,2.30,1.85,2.30,471.00,3018.21,3.81,20000.00,8750.00,2868.00
RELIANCE,03-May-2024,30-May-2024,PE,2600.00,1.30,6.45,1.15,3.45,2.90,3.45,2525.00,16437.18,24.68,322750.00,55500.00,2868.00
RELIANCE,03-May-2024,30-May-2024,PE,2640.00,1.00,9.80,1.00,5.50,4.40,5.50,2366.00,15649.03,33.43,153250.00,-7000.00,2868.00
RELIANCE,03-May-2024,30-May-2024,PE,2660.00,1.55,12.05,1.50,6.75,5.50,6.75,2052.00,13683.81,38.01,92750.00,29750.00,2868.00
RELIANCE,03-May-2024,30-May-2024,PE,2680.00,1.90,14.75,1.80,8.20,6.95,8.20,2071.00,13915.42,39.72,178250.00,27250.00,2868.00
RELIANCE,03-May-2024,30-May-2024,PE,2700.00,2.60,18.25,2.60,10.70,8.95,10.70,8226.00,55755.24,229.74,1099750.00,412000.00,2868.00
RELIANCE,03-May-2024,30-May-2024,PE,2720.00,3.15,22.00,3.15,12.25,10.95,12.25,2947.00,20155.85,116.25,311750.00,161500.00,2868.00
RELIANCE,03-May-2024,30-May-2024,PE,2740.00,3.90,26.50,3.85,15.80,13.85,15.80,3216.00,22157.63,128.03,251000.00,16750.00,2868.00
RELIANCE,03-May-2024,30-May-2024,PE,2760.00,4.90,31.55,4.75,18.00,16.65,18.00,4690.00,32582.64,221.64,555250.00,233500.00,2868.00
RELIANCE,03-May-2024,30-May-2024,PE,2780.00,7.20,38.00,6.10,23.35,20.05,23.35,4776.00,33459.00,265.80,298750.00,144000.00,2868.00
