Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
RELIANCE,01-Nov-2024,28-Nov-2024,PE,1100.00,1.80,1.80,1.05,1.25,1.25,1.25,178.00,980.19,1.19,273000.00,47500.00,1338.65
RELIANCE,01-Nov-2024,28-Nov-2024,PE,1120.00,-,-,-,5.00,5.00,0.05,-,-,-,500.00,-,1338.65
RELIANCE,01-Nov-2024,28-Nov-2024,PE,1140.00,-,-,-,1.35,-,0.10,-,-,-,-,-,1338.65
RELIANCE,01-Nov-2024,28-Nov-2024,PE,1160.00,2.65,2.70,1.90,2.05,2.10,2.05,203.00,1179.63,2.23,268500.00,66000.00,1338.65
RELIANCE,01-Nov-2024,28-Nov-2024,PE,1180.00,3.20,3.20,2.75,2.90,2.85,2.90,122.00,721.58,1.78,58500.00,31000.00,1338.65
RELIANCE,01-Nov-2024,28-Nov-2024,PE,1200.00,4.00,4.60,3.75,3.90,3.95,3.90,567.00,3413.45,11.45,1424000.00,88500.00,1338.65
RELIANCE,01-Nov-2024,28-Nov-2024,PE,1210.00,-,-,-,1.85,-,1.30,-,-,-,-,-,1338.65
RELIANCE,01-Nov-2024,28-Nov-2024,PE,1220.00,5.80,5.80,5.20,5.35,5.40,5.35,155.00,949.76,4.26,153500.00,5000.00,1338.65
RELIANCE,01-Nov-2024,28-Nov-2024,PE,1230.00,6.45,6.50,5.85,6.20,6.20,6.20,76.00,469.77,2.37,151000.00,4500.00,1338.65
RELIANCE,01-Nov-2024,28-Nov-2024,PE,1240.00,7.80,7.80,6.70,7.20,7.20,7.20,133.00,829.40,4.80,131500.00,-9000.00,1338.65
RELIANCE,01-Nov-2024,28-Nov-2024,PE,1250.00,9.20,9.40,7.85,8.45,8.50,8.45,809.00,5090.82,34.57,1946000.00,72500.00,1338.65
RELIANCE,01-Nov-2024,28-Nov-2024,PE,1260.00,10.70,10.70,9.20,9.95,10.00,9.95,222.00,1409.60,11.00,452500.00,14000.00,1338.65
RELIANCE,01-Nov-2024,28-Nov-2024,PE,1270.00,12.05,12.05,10.90,11.55,11.70,11.55,88.00,563.81,5.01,154500.00,8000.00,1338.65
RELIANCE,01-Nov-2024,28-Nov-2024,PE,1280.00,14.35,14.35,12.65,13.55,13.60,13.55,477.00,3084.65,31.85,770500.00,46500.00,1338.65
RELIANCE,01-Nov-2024,28-Nov-2024,PE,1290.00,16.00,16.45,14.80,15.75,15.85,15.75,76.00,496.14,5.94,250500.00,6500.00,1338.65
RELIANCE,01-Nov-2024,28-Nov-2024,PE,1300.00,19.95,20.20,17.30,18.55,18.75,18.55,1330.00,8767.57,122.57,2764500.00,24500.00,1338.65
RELIANCE,01-Nov-2024,28-Nov-2024,PE,1310.00,21.20,21.90,20.40,21.45,21.40,21.45,182.00,1211.50,19.40,327500.00,9000.00,1338.65
RELIANCE,01-Nov-2024,28-Nov-2024,PE,1320.00,27.00,27.25,23.50,25.00,25.00,25.00,432.00,2904.80,53.60,1128500.00,22500.00,1338.65
RELIANCE,01-Nov-2024,28-Nov-2024,PE,1330.00,28.95,29.30,27.50,28.90,29.00,28.90,377.00,2561.05,54.00,1391000.00,17500.00,1338.65
RELIANCE,01-Nov-2024,28-Nov-2024,PE,1340.00,35.10,35.15,31.65,33.25,32.90,33.25,1173.00,8052.42,193.32,2522500.00,166500.00,1338.65
RELIANCE,01-Nov-2024,28-Nov-2024,PE,1350.00,36.45,38.10,36.20,37.70,37.60,37.70,566.00,3926.44,105.94,5433500.00,-67500.00,1338.65
RELIANCE,01-Nov-2024,28-Nov-2024,PE,1360.00,41.95,43.05,41.05,42.50,42.80,42.50,108.00,757.26,22.86,874500.00,8500.00,1338.65
RELIANCE,01-Nov-2024,28-Nov-2024,PE,1370.00,47.70,48.25,47.45,48.05,47.55,48.05,21.00,148.88,5.03,593000.00,500.00,1338.65
RELIANCE,01-Nov-2024,28-Nov-2024,PE,1380.00,55.00,55.00,52.90,53.95,54.50,53.95,52.00,372.87,14.07,532000.00,14500.00,1338.65
RELIANCE,01-Nov-2024,28-Nov-2024,PE,1390.00,61.00,61.00,61.00,61.00,61.00,61.00,2.00,14.51,0.61,284000.00,500.00,1338.65
RELIANCE,01-Nov-2024,28-Nov-2024,PE,1400.00,70.45,70.45,66.75,68.20,69.00,68.20,148.00,1086.42,50.42,3368500.00,4500.00,1338.65
RELIANCE,01-Nov-2024,28-Nov-2024,PE,1410.00,-,-,-,77.55,79.30,74.90,-,-,-,86500.00,-,1338.65
RELIANCE,01-Nov-2024,28-Nov-2024,PE,1420.00,83.80,83.80,83.80,83.80,83.80,83.80,1.00,7.52,0.42,576500.00,-500.00,1338.65
RELIANCE,01-Nov-2024,28-Nov-2024,PE,1430.00,92.00,92.00,92.00,92.00,92.00,92.00,2.00,15.22,0.92,536500.00,1000.00,1338.65
RELIANCE,01-Nov-2024,28-Nov-2024,PE,1440.00,100.80,100.80,100.80,100.80,100.80,99.80,2.00,15.41,1.01,94500.00,1000.00,1338.65
RELIANCE,01-Nov-2024,28-Nov-2024,PE,1450.00,110.00,110.00,108.95,109.95,109.70,109.95,11.00,85.78,6.03,5221500.00,-3500.00,1338.65
RELIANCE,01-Nov-2024,28-Nov-2024,PE,1460.00,-,-,-,120.20,119.65,117.60,-,-,-,189500.00,-,1338.65
RELIANCE,01-Nov-2024,28-Nov-2024,PE,1470.00,-,-,-,129.00,129.00,126.80,-,-,-,140500.00,-,1338.65
RELIANCE,01-Nov-2024,28-Nov-2024,PE,1480.00,-,-,-,142.90,142.90,136.10,-,-,-,153500.00,-,1338.65
RELIANCE,01-Nov-2024,28-Nov-2024,PE,1490.00,-,-,-,150.00,150.00,145.55,-,-,-,111000.00,-,1338.65
RELIANCE,01-Nov-2024,28-Nov-2024,PE,1500.00,156.70,158.90,155.80,157.65,157.50,157.65,216.00,1790.25,170.25,4508500.00,10500.00,1338.65
RELIANCE,01-Nov-2024,28-Nov-2024,PE,1510.00,-,-,-,168.00,168.00,164.75,-,-,-,15000.00,-,1338.65
