Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
RELIANCE,01-Oct-2024,31-Oct-2024,CE,2520.00,450.00,450.00,435.00,435.00,435.00,425.65,2.00,14.81,2.21,6000.00,-,2953.15
RELIANCE,01-Oct-2024,31-Oct-2024,CE,2560.00,-,-,-,495.35,-,386.95,-,-,-,-,-,2953.15
RELIANCE,01-Oct-2024,31-Oct-2024,CE,2600.00,-,-,-,410.00,410.00,348.80,-,-,-,1500.00,-,2953.15
RELIANCE,01-Oct-2024,31-Oct-2024,CE,2640.00,-,-,-,428.60,-,311.55,-,-,-,-,-,2953.15
RELIANCE,01-Oct-2024,31-Oct-2024,CE,2680.00,-,-,-,374.30,374.30,275.45,-,-,-,250.00,-,2953.15
RELIANCE,01-Oct-2024,31-Oct-2024,CE,2700.00,261.00,269.00,258.80,258.90,259.00,258.90,8.00,59.24,5.24,6000.00,1000.00,2953.15
RELIANCE,01-Oct-2024,31-Oct-2024,CE,2720.00,-,-,-,366.20,-,240.85,-,-,-,-,-,2953.15
RELIANCE,01-Oct-2024,31-Oct-2024,CE,2740.00,-,-,-,359.70,-,224.20,-,-,-,-,-,2953.15
RELIANCE,01-Oct-2024,31-Oct-2024,CE,2760.00,-,-,-,336.90,-,208.05,-,-,-,-,-,2953.15
RELIANCE,01-Oct-2024,31-Oct-2024,CE,2780.00,-,-,-,327.10,-,192.45,-,-,-,-,-,2953.15
RELIANCE,01-Oct-2024,31-Oct-2024,CE,2800.00,197.00,201.00,166.00,167.60,168.45,167.60,445.00,3308.73,193.73,240500.00,47500.00,2953.15
RELIANCE,01-Oct-2024,31-Oct-2024,CE,2820.00,166.10,167.85,148.70,150.10,148.80,150.10,45.00,334.56,17.31,12000.00,2250.00,2953.15
RELIANCE,01-Oct-2024,31-Oct-2024,CE,2840.00,162.00,166.75,132.50,134.15,132.55,134.15,109.00,812.29,38.39,30000.00,13750.00,2953.15
RELIANCE,01-Oct-2024,31-Oct-2024,CE,2860.00,149.00,150.85,116.00,118.40,117.00,118.40,220.00,1643.27,70.27,74750.00,20000.00,2953.15
RELIANCE,01-Oct-2024,31-Oct-2024,CE,2880.00,130.40,134.10,102.75,104.40,103.00,104.40,236.00,1764.05,64.85,86000.00,27000.00,2953.15
RELIANCE,01-Oct-2024,31-Oct-2024,CE,2900.00,114.95,121.25,88.40,90.70,89.90,90.70,4466.00,33475.17,1096.67,733500.00,187000.00,2953.15
RELIANCE,01-Oct-2024,31-Oct-2024,CE,2920.00,102.55,107.90,76.75,78.95,77.50,78.95,3822.00,28691.80,791.20,318000.00,200000.00,2953.15
RELIANCE,01-Oct-2024,31-Oct-2024,CE,2940.00,90.80,93.45,65.70,68.15,66.80,68.15,8745.00,65860.90,1585.15,761250.00,439000.00,2953.15
RELIANCE,01-Oct-2024,31-Oct-2024,CE,2960.00,77.05,81.60,55.55,57.75,56.45,57.75,11472.00,86750.99,1858.19,1020750.00,437000.00,2953.15
RELIANCE,01-Oct-2024,31-Oct-2024,CE,2980.00,66.85,71.10,47.05,49.20,47.50,49.20,11997.00,91044.12,1666.47,1109750.00,226750.00,2953.15
RELIANCE,01-Oct-2024,31-Oct-2024,CE,3000.00,56.95,60.60,38.00,40.40,39.50,40.40,31196.00,237570.30,3600.30,5870500.00,1213750.00,2953.15
RELIANCE,01-Oct-2024,31-Oct-2024,CE,3020.00,47.15,51.35,32.25,33.70,33.00,33.70,8414.00,64338.13,812.43,920750.00,162750.00,2953.15
RELIANCE,01-Oct-2024,31-Oct-2024,CE,3040.00,42.00,43.25,26.55,27.65,27.00,27.65,7718.00,59278.90,622.10,1235500.00,313000.00,2953.15
RELIANCE,01-Oct-2024,31-Oct-2024,CE,3060.00,34.35,35.85,21.60,22.65,21.90,22.65,7054.00,54426.98,463.88,1459750.00,-65000.00,2953.15
RELIANCE,01-Oct-2024,31-Oct-2024,CE,3080.00,29.20,29.95,17.80,18.80,18.30,18.80,4999.00,38761.34,269.04,512750.00,-26750.00,2953.15
RELIANCE,01-Oct-2024,31-Oct-2024,CE,3100.00,25.00,25.00,14.55,15.55,15.35,15.55,17514.00,136525.87,792.37,3467500.00,371500.00,2953.15
RELIANCE,01-Oct-2024,31-Oct-2024,CE,3120.00,20.00,20.80,12.00,12.90,12.75,12.90,3582.00,28078.14,138.54,379250.00,-10500.00,2953.15
RELIANCE,01-Oct-2024,31-Oct-2024,CE,3140.00,18.00,18.05,9.85,10.85,10.45,10.85,2886.00,22744.91,89.81,486250.00,-5500.00,2953.15
RELIANCE,01-Oct-2024,31-Oct-2024,CE,3160.00,14.05,14.35,8.30,9.10,8.85,9.10,1906.00,15106.15,48.75,474250.00,-23500.00,2953.15
RELIANCE,01-Oct-2024,31-Oct-2024,CE,3180.00,12.25,12.25,7.00,7.65,7.50,7.65,1224.00,9757.14,26.34,263750.00,20750.00,2953.15
RELIANCE,01-Oct-2024,31-Oct-2024,CE,3200.00,10.50,11.15,6.00,6.65,6.65,6.65,8054.00,64581.09,149.09,3182000.00,458250.00,2953.15
RELIANCE,01-Oct-2024,31-Oct-2024,CE,3220.00,8.30,8.65,5.05,5.40,5.30,5.40,1225.00,9879.28,18.03,282250.00,6250.00,2953.15
RELIANCE,01-Oct-2024,31-Oct-2024,CE,3240.00,4.80,7.10,4.20,4.50,4.55,4.50,1558.00,12640.20,20.40,353250.00,21500.00,2953.15
RELIANCE,01-Oct-2024,31-Oct-2024,CE,3260.00,5.90,5.95,3.60,3.85,3.85,3.85,1153.00,9408.94,11.99,313500.00,31750.00,2953.15
RELIANCE,01-Oct-2024,31-Oct-2024,CE,3280.00,4.85,5.05,2.00,3.30,3.35,3.30,2242.00,18404.54,20.14,513500.00,43000.00,2953.15
RELIANCE,01-Oct-2024,31-Oct-2024,CE,3300.00,4.30,4.40,2.80,2.95,2.95,2.95,1396.00,11528.35,11.35,230500.00,82750.00,2953.15
RELIANCE,01-Oct-2024,31-Oct-2024,CE,3320.00,3.90,3.90,2.55,2.95,2.80,2.95,580.00,4818.38,4.38,252750.00,-6750.00,2953.15
RELIANCE,01-Oct-2024,31-Oct-2024,CE,3360.00,3.00,3.15,2.10,2.50,2.45,2.50,907.00,7624.29,5.49,150250.00,-66000.00,2953.15
RELIANCE,01-Oct-2024,31-Oct-2024,CE,3400.00,2.60,2.75,1.90,2.10,2.05,2.10,2413.00,20523.32,12.82,859250.00,69250.00,2953.15
RELIANCE,01-Oct-2024,31-Oct-2024,CE,3440.00,2.30,2.30,1.70,2.00,1.95,2.00,69.00,593.73,0.33,59750.00,-3500.00,2953.15
RELIANCE,01-Oct-2024,31-Oct-2024,CE,3480.00,2.00,2.00,1.55,1.80,1.85,1.80,415.00,3612.27,1.77,119000.00,1500.00,2953.15
RELIANCE,01-Oct-2024,31-Oct-2024,CE,3520.00,1.70,1.70,1.35,1.50,1.50,1.50,373.00,3283.79,1.39,140750.00,2000.00,2953.15
RELIANCE,03-Oct-2024,31-Oct-2024,CE,2480.00,-,-,-,565.60,-,350.35,-,-,-,-,-,2813.95
RELIANCE,03-Oct-2024,31-Oct-2024,CE,2520.00,395.00,395.00,324.00,324.00,324.00,312.60,12.00,86.12,10.52,6250.00,250.00,2813.95
RELIANCE,03-Oct-2024,31-Oct-2024,CE,2560.00,-,-,-,495.35,-,275.90,-,-,-,-,-,2813.95
RELIANCE,03-Oct-2024,31-Oct-2024,CE,2600.00,311.30,311.30,254.30,255.60,255.00,255.60,17.00,121.90,11.40,4000.00,2500.00,2813.95
RELIANCE,03-Oct-2024,31-Oct-2024,CE,2640.00,253.10,253.10,253.10,253.10,253.10,207.05,1.00,7.23,0.63,250.00,250.00,2813.95
RELIANCE,03-Oct-2024,31-Oct-2024,CE,2680.00,275.45,275.45,176.40,178.45,179.45,178.45,21.00,150.73,10.03,2750.00,2500.00,2813.95
RELIANCE,03-Oct-2024,31-Oct-2024,CE,2700.00,220.00,225.00,158.00,163.20,162.95,163.20,283.00,2035.87,125.62,45500.00,39500.00,2813.95
RELIANCE,03-Oct-2024,31-Oct-2024,CE,2720.00,144.90,151.15,144.90,147.40,146.25,147.40,30.00,215.05,11.05,7250.00,7250.00,2813.95
RELIANCE,03-Oct-2024,31-Oct-2024,CE,2740.00,138.55,141.05,128.40,130.70,131.20,130.70,83.00,596.54,27.99,12250.00,12250.00,2813.95
RELIANCE,03-Oct-2024,31-Oct-2024,CE,2760.00,164.40,167.50,113.35,116.25,117.00,116.25,382.00,2761.05,125.25,51750.00,51750.00,2813.95
RELIANCE,03-Oct-2024,31-Oct-2024,CE,2780.00,149.00,149.00,97.50,101.75,102.25,101.75,396.00,2868.37,116.17,57000.00,57000.00,2813.95
RELIANCE,03-Oct-2024,31-Oct-2024,CE,2800.00,141.00,143.60,84.30,88.75,88.90,88.75,5455.00,39614.10,1429.10,666500.00,426000.00,2813.95
RELIANCE,03-Oct-2024,31-Oct-2024,CE,2820.00,117.90,127.20,72.55,76.05,76.25,76.05,3308.00,23994.21,672.81,264250.00,252250.00,2813.95
RELIANCE,03-Oct-2024,31-Oct-2024,CE,2840.00,109.00,112.55,61.65,64.65,65.00,64.65,6972.00,50763.09,1261.89,527500.00,497500.00,2813.95
RELIANCE,03-Oct-2024,31-Oct-2024,CE,2860.00,94.10,98.65,51.75,54.35,54.25,54.35,9273.00,67877.58,1575.63,577250.00,502500.00,2813.95
RELIANCE,03-Oct-2024,31-Oct-2024,CE,2880.00,80.00,86.00,43.10,45.25,45.20,45.25,12269.00,90274.75,1937.95,702250.00,616250.00,2813.95
RELIANCE,03-Oct-2024,31-Oct-2024,CE,2900.00,68.80,74.10,35.40,37.05,36.95,37.05,38336.00,282984.96,5048.96,3193750.00,2460250.00,2813.95
RELIANCE,03-Oct-2024,31-Oct-2024,CE,2920.00,59.95,63.25,29.00,30.30,30.30,30.30,12953.00,95990.52,1433.62,1000500.00,682500.00,2813.95
RELIANCE,03-Oct-2024,31-Oct-2024,CE,2940.00,50.20,55.00,24.20,25.20,24.80,25.20,14336.00,106754.69,1385.09,1117250.00,356000.00,2813.95
RELIANCE,03-Oct-2024,31-Oct-2024,CE,2960.00,38.25,44.75,19.95,20.60,20.60,20.60,18777.00,140469.96,1520.16,1777500.00,756750.00,2813.95
