Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
RELIANCE,01-Oct-2024,31-Oct-2024,PE,2480.00,1.55,1.85,1.40,1.70,1.70,1.70,92.00,570.78,0.38,46500.00,6000.00,2953.15
RELIANCE,01-Oct-2024,31-Oct-2024,PE,2520.00,2.00,2.20,1.30,1.80,1.80,1.80,164.00,1033.90,0.70,31000.00,9250.00,2953.15
RELIANCE,01-Oct-2024,31-Oct-2024,PE,2560.00,2.30,2.40,1.60,2.00,2.05,2.00,34.00,217.77,0.17,17000.00,3000.00,2953.15
RELIANCE,01-Oct-2024,31-Oct-2024,PE,2600.00,2.70,2.85,1.85,2.15,2.05,2.15,712.00,4631.84,3.84,239500.00,23250.00,2953.15
RELIANCE,01-Oct-2024,31-Oct-2024,PE,2640.00,2.90,2.90,2.30,2.35,2.35,2.35,115.00,759.71,0.71,30250.00,8750.00,2953.15
RELIANCE,01-Oct-2024,31-Oct-2024,PE,2660.00,3.55,3.55,2.25,2.55,2.70,2.55,257.00,1710.81,1.76,34500.00,25500.00,2953.15
RELIANCE,01-Oct-2024,31-Oct-2024,PE,2680.00,2.95,3.90,2.75,3.10,3.05,3.10,762.00,5111.44,6.04,101500.00,69750.00,2953.15
RELIANCE,01-Oct-2024,31-Oct-2024,PE,2700.00,4.15,4.70,3.30,4.05,4.10,4.05,2002.00,13533.32,19.82,677000.00,73500.00,2953.15
RELIANCE,01-Oct-2024,31-Oct-2024,PE,2720.00,4.20,5.75,3.90,4.75,4.80,4.75,1038.00,7070.94,12.54,153750.00,47250.00,2953.15
RELIANCE,01-Oct-2024,31-Oct-2024,PE,2740.00,5.70,7.20,4.75,6.15,6.20,6.15,772.00,5299.71,11.51,89750.00,6000.00,2953.15
