Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
RELIANCE,01-Sep-2022,29-Sep-2022,CE,1980.00,-,-,-,651.55,-,589.20,-,-,-,-,-,2560.40
RELIANCE,01-Sep-2022,29-Sep-2022,CE,2000.00,625.00,625.00,625.00,625.00,625.00,569.40,1.00,6.56,1.56,4000.00,-,2560.40
RELIANCE,01-Sep-2022,29-Sep-2022,CE,2020.00,-,-,-,615.20,-,549.60,-,-,-,-,-,2560.40
RELIANCE,01-Sep-2022,29-Sep-2022,CE,2040.00,-,-,-,597.25,-,529.90,-,-,-,-,-,2560.40
RELIANCE,01-Sep-2022,29-Sep-2022,CE,2060.00,-,-,-,579.55,-,510.20,-,-,-,-,-,2560.40
RELIANCE,01-Sep-2022,29-Sep-2022,CE,2080.00,-,-,-,561.95,-,490.65,-,-,-,-,-,2560.40
RELIANCE,01-Sep-2022,29-Sep-2022,CE,2100.00,500.00,500.00,496.00,496.00,496.00,471.10,2.00,12.99,2.49,1500.00,250.00,2560.40
RELIANCE,01-Sep-2022,29-Sep-2022,CE,2120.00,-,-,-,527.50,-,451.70,-,-,-,-,-,2560.40
RELIANCE,01-Sep-2022,29-Sep-2022,CE,2140.00,-,-,-,510.55,-,432.45,-,-,-,-,-,2560.40
RELIANCE,01-Sep-2022,29-Sep-2022,CE,2160.00,-,-,-,493.90,-,413.30,-,-,-,-,-,2560.40
RELIANCE,01-Sep-2022,29-Sep-2022,CE,2180.00,-,-,-,477.45,-,394.35,-,-,-,-,-,2560.40
RELIANCE,01-Sep-2022,29-Sep-2022,CE,2200.00,-,-,-,407.90,407.90,375.55,-,-,-,6000.00,-,2560.40
RELIANCE,01-Sep-2022,29-Sep-2022,CE,2220.00,-,-,-,445.35,-,357.05,-,-,-,-,-,2560.40
RELIANCE,01-Sep-2022,29-Sep-2022,CE,2240.00,-,-,-,429.70,-,338.75,-,-,-,-,-,2560.40
RELIANCE,01-Sep-2022,29-Sep-2022,CE,2260.00,-,-,-,414.35,-,320.75,-,-,-,-,-,2560.40
RELIANCE,01-Sep-2022,29-Sep-2022,CE,2280.00,-,-,-,399.25,-,303.10,-,-,-,-,-,2560.40
RELIANCE,01-Sep-2022,29-Sep-2022,CE,2300.00,304.00,305.00,275.00,275.00,275.00,275.00,16.00,103.62,11.62,22500.00,500.00,2560.40
RELIANCE,01-Sep-2022,29-Sep-2022,CE,2320.00,-,-,-,309.00,309.00,268.85,-,-,-,500.00,-,2560.40
RELIANCE,01-Sep-2022,29-Sep-2022,CE,2340.00,-,-,-,355.90,-,252.35,-,-,-,-,-,2560.40
RELIANCE,01-Sep-2022,29-Sep-2022,CE,2360.00,-,-,-,342.05,-,236.30,-,-,-,-,-,2560.40
RELIANCE,01-Sep-2022,29-Sep-2022,CE,2380.00,-,-,-,328.45,-,220.75,-,-,-,-,-,2560.40
RELIANCE,01-Sep-2022,29-Sep-2022,CE,2400.00,220.10,222.65,186.40,192.00,196.00,192.00,333.00,2170.68,172.68,87500.00,41250.00,2560.40
RELIANCE,01-Sep-2022,29-Sep-2022,CE,2420.00,192.05,193.05,171.95,174.20,174.20,174.20,37.00,240.58,16.73,7000.00,-4750.00,2560.40
RELIANCE,01-Sep-2022,29-Sep-2022,CE,2440.00,181.55,183.45,155.85,158.60,158.95,158.60,69.00,450.63,29.73,9250.00,-6000.00,2560.40
