Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
RELIANCE,02-Sep-2024,26-Sep-2024,PE,2440.00,2.00,2.00,1.35,1.45,1.40,1.45,183.00,1117.00,0.70,34500.00,18250.00,3019.25
RELIANCE,02-Sep-2024,26-Sep-2024,PE,2480.00,2.00,2.00,1.50,1.60,1.60,1.60,19.00,117.88,0.08,4250.00,500.00,3019.25
RELIANCE,02-Sep-2024,26-Sep-2024,PE,2520.00,2.80,2.80,1.40,1.55,1.45,1.55,458.00,2887.39,1.99,109250.00,1500.00,3019.25
RELIANCE,02-Sep-2024,26-Sep-2024,PE,2560.00,4.45,4.45,1.35,1.50,1.45,1.50,48.00,307.42,0.22,9750.00,4000.00,3019.25
RELIANCE,02-Sep-2024,26-Sep-2024,PE,2600.00,2.40,2.65,1.50,1.55,1.60,1.55,893.00,5808.79,4.29,336250.00,-21250.00,3019.25
RELIANCE,02-Sep-2024,26-Sep-2024,PE,2640.00,2.60,3.80,2.05,2.30,2.30,1.25,8.00,52.85,0.05,1000.00,1000.00,3019.25
RELIANCE,02-Sep-2024,26-Sep-2024,PE,2660.00,3.40,3.70,1.85,2.30,2.05,2.30,210.00,1397.85,1.35,39500.00,23000.00,3019.25
RELIANCE,02-Sep-2024,26-Sep-2024,PE,2680.00,4.85,5.40,2.65,2.80,2.70,2.80,265.00,1777.51,2.01,48750.00,33500.00,3019.25
RELIANCE,02-Sep-2024,26-Sep-2024,PE,2700.00,5.20,5.90,2.90,3.15,3.15,3.15,5001.00,33803.23,46.48,775750.00,-279750.00,3019.25
RELIANCE,02-Sep-2024,26-Sep-2024,PE,2720.00,6.15,6.40,3.10,3.45,3.45,3.45,1338.00,9112.12,13.72,148500.00,-27250.00,3019.25
RELIANCE,02-Sep-2024,26-Sep-2024,PE,2740.00,6.75,6.80,3.75,4.10,4.00,4.10,1532.00,10511.36,17.16,132500.00,16500.00,3019.25
RELIANCE,02-Sep-2024,26-Sep-2024,PE,2760.00,7.25,7.60,4.45,4.65,4.80,4.65,1805.00,12477.28,22.78,169750.00,16250.00,3019.25
